area,run
145.50000000000006,1
142.8,2
149.35,3
144.55,4
148.70000000000005,5
147.75000000000006,6
144.85000000000002,7
149.05000000000007,8
143.75000000000006,9
149.35000000000002,10
139.35000000000002,11
141.80000000000004,12
147.05000000000004,13
147.30000000000004,14
146.35000000000002,15
144.40000000000003,16
144.75000000000006,17
146.30000000000007,18
142.60000000000002,19
143.95000000000005,20
141.25000000000003,21
148.55000000000004,22
144.10000000000002,23
142.45000000000005,24
141.10000000000002,25
146.95000000000005,26
144.80000000000004,27
145.95000000000005,28
144.00000000000003,29
144.95000000000005,30
145.55000000000007,31
