index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
18905;19384,723;323,0787167;1681432392;5;0,4;2;5;0,41;2,05
18906;19385,823;323,09705;1681432394;5;0,41;2,05;5;0,4;2
18907;19386,923;323,1153833;1681432395;5;0,41;2,05;5;0,4;2
18908;19388,023;323,1337167;1681432396;5;0,41;2,05;5;0,4;2
18909;19389,123;323,15205;1681432397;5;0,41;2,05;5;0,4;2
18910;19390,236;323,1706;1681432398;5;0,41;2,05;5;0,4;2
18911;19391,323;323,1887167;1681432399;5;0,41;2,05;5;0,4;2
18912;19392,423;323,20705;1681432400;5;0,41;2,05;5;0,4;2
18913;19393,536;323,2256;1681432401;5;0,41;2,05;5;0,4;2
18914;19394,623;323,2437167;1681432402;5;0,41;2,05;5;0,4;2
18915;19395,723;323,26205;1681432403;5;0,41;2,05;5;0,4;2
18916;19396,822;323,2803667;1681432405;5;0,4;2;5;0,4;2
18917;19397,936;323,2989333;1681432406;5;0,41;2,05;5;0,4;2
18918;19399,023;323,31705;1681432407;5;0,4;2;5;0,4;2
18919;19400,123;323,3353833;1681432408;5;0,41;2,05;5;0,4;2
18920;19401,223;323,3537167;1681432409;5;0,4;2;5;0,4;2
18921;19402,323;323,37205;1681432410;5;0,41;2,05;5;0,4;2
18922;19403,423;323,3903833;1681432411;5;0,4;2;5;0,4;2
18923;19404,523;323,4087167;1681432412;5;0,41;2,05;5;0,4;2
18924;19405,623;323,42705;1681432413;5;0,4;2;5;0,4;2
18925;19406,736;323,4456;1681432414;5;0,41;2,05;5;0,4;2
18926;19407,823;323,4637167;1681432416;5;0,4;2;5;0,4;2
18927;19408,923;323,48205;1681432417;5;0,41;2,05;5;0,4;2
18928;19410,024;323,5004;1681432418;5;0,41;2,05;5;0,4;2
18929;19411,123;323,5187167;1681432419;5;0,41;2,05;5;0,4;2
18930;19412,223;323,53705;1681432420;5;0,41;2,05;5;0,4;2
18931;19413,323;323,5553833;1681432421;5;0,4;2;5;0,4;2
18932;19414,424;323,5737333;1681432422;5;0,41;2,05;5;0,4;2
18933;19415,523;323,59205;1681432423;5;0,41;2,05;5;0,4;2
18934;19416,624;323,6104;1681432424;5;0,4;2;5;0,4;2
18935;19417,723;323,6287167;1681432425;5;0,41;2,05;5;0,4;2
18936;19418,823;323,64705;1681432427;5;0,41;2,05;5;0,4;2
18937;19419,924;323,6654;1681432428;5;0,4;2;5;0,4;2
18938;19421,023;323,6837167;1681432429;5;0,41;2,05;5;0,4;2
18939;19422,123;323,70205;1681432430;5;0,4;2;5;0,4;2
18940;19423,223;323,7203833;1681432431;5;0,41;2,05;5;0,4;2
18941;19424,323;323,7387167;1681432432;5;0,4;2;5;0,4;2
18942;19425,423;323,75705;1681432433;5;0,41;2,05;5;0,4;2
18943;19426,523;323,7753833;1681432434;5;0,41;2,05;5;0,4;2
18944;19427,623;323,7937167;1681432435;5;0,41;2,05;5;0,4;2
