index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
43610;48498,479;808,3079833;1681883610;5;0,41;2,05;5;0,4;2
43611;48499,679;808,3279833;1681883611;5;0,41;2,05;5;0,4;2
43612;48500,88;808,348;1681883612;5;0,41;2,05;5;0,4;2
43613;48502,079;808,3679833;1681883613;5;0,41;2,05;5;0,4;2
43614;48503,279;808,3879833;1681883614;5;0,41;2,05;5;0,4;2
43615;48504,479;808,4079833;1681883615;5;0,41;2,05;5;0,4;2
43616;48505,686;808,4281;1681883617;5;0,41;2,05;5;0,4;2
43617;48506,879;808,4479833;1681883618;5;0,41;2,05;5;0,4;2
43618;48508,079;808,4679833;1681883619;5;0,41;2,05;5;0,4;2
43619;48509,279;808,4879833;1681883620;5;0,41;2,05;5;0,4;2
43620;48510,479;808,5079833;1681883621;5;0,41;2,05;5;0,4;2
43621;48511,679;808,5279833;1681883623;5;0,41;2,05;5;0,4;2
43622;48512,879;808,5479833;1681883624;5;0,41;2,05;5;0,4;2
43623;48514,08;808,568;1681883625;5;0,41;2,05;5;0,4;2
43624;48515,279;808,5879833;1681883626;5;0,41;2,05;5;0,4;2
43625;48516,479;808,6079833;1681883628;5;0,41;2,05;5;0,4;2
43626;48517,679;808,6279833;1681883629;5;0,41;2,05;5;0,4;2
43627;48518,88;808,648;1681883630;5;0,41;2,05;5;0,4;2
43628;48520,079;808,6679833;1681883631;5;0,41;2,05;5;0,4;2
43629;48521,286;808,6881;1681883632;5;0,41;2,05;5;0,4;2
43630;48522,479;808,7079833;1681883633;5;0,41;2,05;5;0,4;2
43631;48523,68;808,728;1681883635;5;0,41;2,05;5;0,4;2
43632;48524,879;808,7479833;1681883636;5;0,41;2,05;5;0,4;2
43633;48526,079;808,7679833;1681883637;5;0,41;2,05;5;0,4;2
43634;48527,279;808,7879833;1681883638;5;0,41;2,05;5;0,4;2
43635;48528,486;808,8081;1681883640;5;0,41;2,05;5;0,4;2
43636;48529,68;808,828;1681883641;5;0,41;2,05;5;0,4;2
43637;48530,886;808,8481;1681883642;5;0,41;2,05;5;0,4;2
43638;48532,079;808,8679833;1681883643;5;0,41;2,05;5;0,4;2
43639;48533,279;808,8879833;1681883644;5;0,41;2,05;5;0,4;2
43640;48534,479;808,9079833;1681883645;5;0,41;2,05;5;0,4;2
43641;48535,679;808,9279833;1681883647;5;0,45;2,25;5;0,4;2
43642;48536,879;808,9479833;1681883648;5;0,41;2,05;5;0,4;2
43643;48538,08;808,968;1681883650;5;0,41;2,05;5;0,4;2
43644;48539,439;808,99065;1681883650;5;0,41;2,05;5;0,4;2
43645;48540,479;809,0079833;1681883651;5;0,41;2,05;5;0,4;2
43646;48541,679;809,0279833;1681883653;5;0,41;2,05;5;0,4;2
43647;48542,88;809,048;1681883654;5;0,41;2,05;5;0,4;2
43648;48544,079;809,0679833;1681883655;5;0,4;2;5;0,4;2
43649;48545,279;809,0879833;1681883656;5;0,41;2,05;5;0,4;2
43650;48546,479;809,1079833;1681883658;5;0,41;2,05;5;0,4;2
43651;48547,679;809,1279833;1681883659;5;0,41;2,05;5;0,4;2
43652;48548,879;809,1479833;1681883660;5;0,41;2,05;5;0,4;2
43653;48550,079;809,1679833;1681883661;5;0,4;2;5;0,4;2
43654;48551,279;809,1879833;1681883662;5;0,41;2,05;5;0,4;2
43655;48552,479;809,2079833;1681883664;5;0,41;2,05;5;0,4;2
43656;48553,679;809,2279833;1681883665;5;0,41;2,05;5;0,4;2
43657;48554,879;809,2479833;1681883666;5;0,41;2,05;5;0,4;2
43658;48556,079;809,2679833;1681883667;5;0,41;2,05;5;0,4;2
43659;48557,279;809,2879833;1681883668;5;0,41;2,05;5;0,4;2
43660;48558,479;809,3079833;1681883670;5;0,41;2,05;5;0,4;2
43661;48559,68;809,328;1681883671;5;0,41;2,05;5;0,4;2
43662;48560,88;809,348;1681883672;5;0,41;2,05;5;0,4;2
43663;48562,079;809,3679833;1681883673;5;0,41;2,05;5;0,4;2
43664;48563,279;809,3879833;1681883674;5;0,41;2,05;5;0,4;2
43665;48564,479;809,4079833;1681883675;5;0,41;2,05;5;0,4;2
43666;48565,679;809,4279833;1681883677;5;0,41;2,05;5;0,4;2
43667;48566,879;809,4479833;1681883678;5;0,41;2,05;5;0,4;2
43668;48568,086;809,4681;1681883679;5;0,41;2,05;5;0,4;2
43669;48569,279;809,4879833;1681883680;5;0,41;2,05;5;0,4;2
43670;48570,479;809,5079833;1681883681;5;0,41;2,05;5;0,4;2
43671;48571,679;809,5279833;1681883683;5;0,41;2,05;5;0,4;2
43672;48572,886;809,5481;1681883684;5;0,41;2,05;5;0,4;2
43673;48574,079;809,5679833;1681883686;5;0,41;2,05;5;0,4;2
43674;48575,28;809,588;1681883686;5;0,4;2;5;0,4;2
43675;48576,486;809,6081;1681883688;5;0,41;2,05;5;0,4;2
43676;48577,685;809,6280833;1681883689;5;0,41;2,05;5;0,4;2
43677;48578,879;809,6479833;1681883690;5;0,41;2,05;5;0,4;2
43678;48580,079;809,6679833;1681883691;5;0,41;2,05;5;0,4;2
43679;48581,279;809,6879833;1681883692;5;0,41;2,05;5;0,4;2
43680;48582,479;809,7079833;1681883693;5;0,41;2,05;5;0,4;2
43681;48583,679;809,7279833;1681883695;5;0,41;2,05;5;0,4;2
43682;48584,88;809,748;1681883696;5;0,41;2,05;5;0,4;2
43683;48586,079;809,7679833;1681883697;5;0,41;2,05;5;0,4;2
43684;48587,286;809,7881;1681883698;5;0,41;2,05;5;0,4;2
43685;48588,48;809,808;1681883700;5;0,41;2,05;5;0,4;2
43686;48589,679;809,8279833;1681883701;5;0,41;2,05;5;0,4;2
43687;48590,879;809,8479833;1681883702;5;0,41;2,05;5;0,4;2
43688;48592,079;809,8679833;1681883703;5;0,41;2,05;5;0,4;2
43689;48593,28;809,888;1681883704;5;0,41;2,05;5;0,4;2
43690;48594,486;809,9081;1681883706;5;0,41;2,05;5;0,4;2
43691;48595,679;809,9279833;1681883707;5;0,41;2,05;5;0,4;2
43692;48596,879;809,9479833;1681883708;5;0,41;2,05;5;0,4;2
43693;48598,08;809,968;1681883709;5;0,41;2,05;5;0,4;2
43694;48599,279;809,9879833;1681883710;5;0,41;2,05;5;0,4;2
43695;48600,479;810,0079833;1681883711;5;0,41;2,05;5;0,4;2
43696;48601,68;810,028;1681883713;5;0,41;2,05;5;0,4;2
43697;48602,88;810,048;1681883714;5;0,41;2,05;5;0,4;2
43698;48604,079;810,0679833;1681883715;5;0,41;2,05;5;0,4;2
43699;48605,286;810,0881;1681883716;5;0,4;2;5;0,4;2
43700;48606,479;810,1079833;1681883717;5;0,41;2,05;5;0,4;2
43701;48607,679;810,1279833;1681883719;5;0,41;2,05;5;0,4;2
43702;48608,879;810,1479833;1681883720;5;0,41;2,05;5;0,4;2
43703;48610,079;810,1679833;1681883721;5;0,41;2,05;5;0,4;2
43704;48611,28;810,188;1681883722;5;0,41;2,05;5;0,4;2
43705;48612,479;810,2079833;1681883723;5;0,41;2,05;5;0,4;2
43706;48613,679;810,2279833;1681883725;5;0,41;2,05;5;0,4;2
43707;48614,879;810,2479833;1681883726;5;0,41;2,05;5;0,4;2
43708;48616,079;810,2679833;1681883727;5;0,41;2,05;5;0,4;2
43709;48617,291;810,2881833;1681883728;5;0,41;2,05;5;0,4;2
43710;48618,479;810,3079833;1681883729;5;0,41;2,05;5;0,4;2
43711;48619,679;810,3279833;1681883731;5;0,41;2,05;5;0,4;2
43712;48620,879;810,3479833;1681883732;5;0,41;2,05;5;0,4;2
43713;48622,086;810,3681;1681883733;5;0,41;2,05;5;0,4;2
43714;48623,279;810,3879833;1681883734;5;0,41;2,05;5;0,4;2
43715;48624,479;810,4079833;1681883735;5;0,41;2,05;5;0,4;2
43716;48625,679;810,4279833;1681883737;5;0,41;2,05;5;0,4;2
43717;48626,879;810,4479833;1681883738;5;0,41;2,05;5;0,4;2
43718;48628,08;810,468;1681883739;5;0,41;2,05;5;0,4;2
43719;48629,279;810,4879833;1681883740;5;0,41;2,05;5;0,4;2
43720;48630,479;810,5079833;1681883741;5;0,41;2,05;5;0,4;2
43721;48631,679;810,5279833;1681883743;5;0,41;2,05;5;0,4;2
43722;48632,879;810,5479833;1681883744;5;0,41;2,05;5;0,4;2
43723;48634,08;810,568;1681883745;5;0,41;2,05;5;0,4;2
43724;48635,279;810,5879833;1681883746;5;0,41;2,05;5;0,4;2
43725;48636,479;810,6079833;1681883748;5;0,41;2,05;5;0,4;2
43726;48637,68;810,628;1681883749;5;0,41;2,05;5;0,4;2
43727;48638,879;810,6479833;1681883750;5;0,41;2,05;5;0,4;2
43728;48640,079;810,6679833;1681883751;5;0,41;2,05;5;0,4;2
43729;48641,279;810,6879833;1681883752;5;0,41;2,05;5;0,4;2
43730;48642,48;810,708;1681883754;5;0,41;2,05;5;0,4;2
43731;48643,679;810,7279833;1681883755;5;0,41;2,05;5;0,4;2
43732;48644,887;810,7481167;1681883756;5;0,41;2,05;5;0,4;2
43733;48646,079;810,7679833;1681883757;5;0,41;2,05;5;0,4;2
43734;48647,28;810,788;1681883758;5;0,41;2,05;5;0,4;2
43735;48648,479;810,8079833;1681883759;5;0,41;2,05;5;0,4;2
43736;48649,679;810,8279833;1681883761;5;0,41;2,05;5;0,4;2
43737;48650,88;810,848;1681883762;5;0,45;2,25;5;0,4;2
43738;48652,09;810,8681667;1681883763;5;0,41;2,05;5;0,4;2
43739;48653,279;810,8879833;1681883764;5;0,41;2,05;5;0,4;2
43740;48654,479;810,9079833;1681883765;5;0,41;2,05;5;0,4;2
43741;48655,687;810,9281167;1681883767;5;0,41;2,05;5;0,4;2
43742;48656,879;810,9479833;1681883768;5;0,41;2,05;5;0,4;2
