index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
24470;29102,939;485,0489833;1681503788;5;0,41;2,05;5;0,42;2,1
24471;29104,132;485,0688667;1681503789;5;0,4;2;5;0,4;2
24472;29105,332;485,0888667;1681503790;5;0,4;2;5;0,4;2
24473;29106,532;485,1088667;1681503791;5;0,41;2,05;5;0,4;2
24474;29107,732;485,1288667;1681503793;5;0,4;2;5;0,4;2
24475;29108,932;485,1488667;1681503794;5;0,4;2;5;0,4;2
24476;29110,132;485,1688667;1681503795;5;0,41;2,05;5;0,4;2
24477;29111,333;485,1888833;1681503796;5;0,4;2;5;0,4;2
24478;29112,533;485,2088833;1681503797;5;0,41;2,05;5;0,4;2
24479;29113,732;485,2288667;1681503799;5;0,45;2,25;5;0,4;2
24480;29114,932;485,2488667;1681503800;5;0,41;2,05;5;0,4;2
24481;29116,132;485,2688667;1681503801;5;0,43;2,15;5;0,4;2
24482;29117,332;485,2888667;1681503802;5;0,41;2,05;5;0,4;2
24483;29118,532;485,3088667;1681503803;5;0,4;2;5;0,4;2
24484;29119,732;485,3288667;1681503805;5;0,41;2,05;5;0,4;2
24485;29120,939;485,3489833;1681503806;5;0,4;2;5;0,4;2
24486;29122,132;485,3688667;1681503807;5;0,41;2,05;5;0,4;2
24487;29123,333;485,3888833;1681503808;5;0,4;2;5;0,4;2
24488;29124,532;485,4088667;1681503809;5;0,41;2,05;5;0,4;2
24489;29125,739;485,4289833;1681503811;5;0,41;2,05;5;0,4;2
24490;29126,932;485,4488667;1681503812;5;0,41;2,05;5;0,4;2
24491;29128,132;485,4688667;1681503813;5;0,41;2,05;5;0,4;2
24492;29129,332;485,4888667;1681503814;5;0,41;2,05;5;0,4;2
24493;29130,533;485,5088833;1681503815;5;0,4;2;5;0,4;2
24494;29131,732;485,5288667;1681503817;5;0,4;2;5;0,4;2
24495;29132,939;485,5489833;1681503818;5;0,41;2,05;5;0,4;2
24496;29134,132;485,5688667;1681503819;5;0,41;2,05;5;0,4;2
24497;29135,332;485,5888667;1681503820;5;0,41;2,05;5;0,4;2
24498;29136,532;485,6088667;1681503821;5;0,4;2;5;0,4;2
24499;29137,733;485,6288833;1681503823;5;0,4;2;5;0,4;2
24500;29138,932;485,6488667;1681503824;5;0,4;2;5;0,4;2
24501;29140,132;485,6688667;1681503825;5;0,4;2;5;0,4;2
24502;29141,332;485,6888667;1681503826;5;0,4;2;5;0,4;2
24503;29142,537;485,70895;1681503827;5;0,41;2,05;5;0,4;2
24504;29143,732;485,7288667;1681503829;5;0,4;2;5;0,4;2
24505;29144,932;485,7488667;1681503830;5;0,4;2;5;0,4;2
24506;29146,132;485,7688667;1681503831;5;0,4;2;5;0,4;2
24507;29147,332;485,7888667;1681503832;5;0,41;2,05;5;0,4;2
24508;29148,532;485,8088667;1681503833;5;0,4;2;5;0,4;2
24509;29149,732;485,8288667;1681503835;5;0,41;2,05;5;0,4;2
24510;29150,932;485,8488667;1681503836;5;0,4;2;5;0,4;2
24511;29152,132;485,8688667;1681503837;5;0,41;2,05;5;0,4;2
24512;29153,332;485,8888667;1681503838;5;0,41;2,05;5;0,4;2
24513;29154,532;485,9088667;1681503839;5;0,41;2,05;5;0,4;2
24514;29155,732;485,9288667;1681503841;5;0,4;2;5;0,4;2
24515;29156,932;485,9488667;1681503842;5;0,41;2,05;5;0,4;2
24516;29158,132;485,9688667;1681503843;5;0,41;2,05;5;0,4;2
24517;29159,332;485,9888667;1681503844;5;0,4;2;5;0,4;2
24518;29160,532;486,0088667;1681503845;5;0,4;2;5;0,4;2
24519;29161,74;486,029;1681503847;5;0,4;2;5;0,4;2
24520;29162,932;486,0488667;1681503848;5;0,41;2,05;5;0,4;2
24521;29164,132;486,0688667;1681503849;5;0,41;2,05;5;0,4;2
24522;29165,339;486,0889833;1681503850;5;0,41;2,05;5;0,4;2
24523;29166,532;486,1088667;1681503851;5;0,4;2;5;0,4;2
24524;29167,732;486,1288667;1681503853;5;0,4;2;5;0,4;2
24525;29168,932;486,1488667;1681503854;5;0,41;2,05;5;0,4;2
24526;29170,132;486,1688667;1681503855;5;0,41;2,05;5;0,4;2
24527;29171,332;486,1888667;1681503856;5;0,4;2;5;0,4;2
24528;29172,532;486,2088667;1681503857;5;0,41;2,05;5;0,4;2
24529;29173,732;486,2288667;1681503859;5;0,41;2,05;5;0,4;2
24530;29174,932;486,2488667;1681503860;5;0,41;2,05;5;0,4;2
24531;29176,139;486,2689833;1681503861;5;0,41;2,05;5;0,4;2
24532;29177,332;486,2888667;1681503862;5;0,41;2,05;5;0,4;2
24533;29178,532;486,3088667;1681503863;5;0,41;2,05;5;0,4;2
24534;29179,732;486,3288667;1681503865;5;0,4;2;5;0,4;2
24535;29180,932;486,3488667;1681503866;5;0,41;2,05;5;0,4;2
24536;29182,143;486,36905;1681503867;5;0,41;2,05;5;0,4;2
24537;29183,332;486,3888667;1681503868;5;0,4;2;5;0,4;2
24538;29184,533;486,4088833;1681503869;5;0,4;2;5;0,4;2
24539;29185,732;486,4288667;1681503871;5;0,43;2,15;5;0,4;2
24540;29186,933;486,4488833;1681503872;5;0,4;2;5;0,4;2
24541;29188,132;486,4688667;1681503873;5;0,4;2;5;0,4;2
24542;29189,332;486,4888667;1681503874;5;0,41;2,05;5;0,4;2
24543;29190,532;486,5088667;1681503875;5;0,41;2,05;5;0,4;2
24544;29191,732;486,5288667;1681503877;5;0,41;2,05;5;0,4;2
24545;29192,932;486,5488667;1681503878;5;0,41;2,05;5;0,4;2
24546;29194,133;486,5688833;1681503879;5;0,4;2;5;0,4;2
24547;29195,332;486,5888667;1681503880;5;0,41;2,05;5;0,4;2
24548;29196,539;486,6089833;1681503881;5;0,41;2,05;5;0,4;2
24549;29197,732;486,6288667;1681503883;5;0,4;2;5;0,4;2
24550;29198,932;486,6488667;1681503884;5;0,41;2,05;5;0,4;2
24551;29200,139;486,6689833;1681503885;5;0,41;2,05;5;0,4;2
24552;29201,333;486,6888833;1681503886;5;0,4;2;5;0,4;2
24553;29202,532;486,7088667;1681503887;5;0,41;2,05;5;0,4;2
24554;29203,732;486,7288667;1681503889;5;0,4;2;5;0,4;2
24555;29204,932;486,7488667;1681503890;5;0,41;2,05;5;0,4;2
24556;29206,132;486,7688667;1681503891;5;0,4;2;5;0,4;2
24557;29207,332;486,7888667;1681503892;5;0,4;2;5;0,4;2
24558;29208,531;486,80885;1681503893;5;0,41;2,05;5;0,4;2
24559;29209,732;486,8288667;1681503895;5;0,4;2;5;0,4;2
24560;29210,932;486,8488667;1681503896;5;0,4;2;5;0,4;2
24561;29212,132;486,8688667;1681503897;5;0,4;2;5;0,4;2
24562;29213,339;486,8889833;1681503898;5;0,41;2,05;5;0,4;2
24563;29214,532;486,9088667;1681503899;5;0,4;2;5;0,4;2
24564;29215,732;486,9288667;1681503901;5;0,41;2,05;5;0,4;2
24565;29216,932;486,9488667;1681503902;5;0,41;2,05;5;0,42;2,1
24566;29218,132;486,9688667;1681503903;5;0,41;2,05;5;0,4;2
24567;29219,332;486,9888667;1681503904;5;0,4;2;5;0,4;2
24568;29220,539;487,0089833;1681503905;5;0,4;2;5;0,4;2
24569;29221,732;487,0288667;1681503907;5;0,41;2,05;5;0,4;2
24570;29222,933;487,0488833;1681503908;5;0,4;2;5;0,4;2
24571;29224,132;487,0688667;1681503909;5;0,4;2;5;0,4;2
24572;29225,332;487,0888667;1681503910;5;0,4;2;5;0,4;2
24573;29226,532;487,1088667;1681503911;5;0,4;2;5;0,4;2
24574;29227,732;487,1288667;1681503913;5;0,4;2;5;0,4;2
24575;29228,933;487,1488833;1681503914;5;0,4;2,05;5;0,4;2
24576;29230,132;487,1688667;1681503915;5;0,4;2;5;0,4;2
24577;29231,332;487,1888667;1681503916;5;0,4;2;5;0,4;2
24578;29232,532;487,2088667;1681503917;5;0,4;2;5;0,4;2
24579;29233,732;487,2288667;1681503919;5;0,4;2;5;0,4;2
24580;29234,932;487,2488667;1681503920;5;0,4;2;5;0,4;2
24581;29236,132;487,2688667;1681503921;5;0,4;2;5;0,4;2
24582;29237,332;487,2888667;1681503922;5;0,41;2,05;5;0,4;2
