index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
2285;2285,097;38,08495;1683797020;5;0,41;2,05;5;0,42;2,1
2286;2286,097;38,10161667;1683797021;5;0,46;2,3;5;0,42;2,1
2287;2287,097;38,11828333;1683797022;5;0,41;2,05;5;0,48;2,4
2288;2288,097;38,13495;1683797023;5;0,43;2,15;5;0,45;2,25
2289;2289,097;38,15161667;1683797024;5;0,41;2,05;5;0,46;2,3
2290;2290,097;38,16828333;1683797025;5;0,46;2,3;5;0,45;2,25
2291;2291,1;38,185;1683797026;5;0,41;2,05;5;0,46;2,3
2292;2292,097;38,20161667;1683797027;5;0,46;2,3;5;0,45;2,25
2293;2293,097;38,21828333;1683797028;5;0,41;2,05;5;0,46;2,3
2294;2294,097;38,23495;1683797029;5;0,41;2,05;5;0,42;2,1
2295;2295,1;38,25166667;1683797030;5;0,41;2,05;5;0,46;2,3
2296;2296,097;38,26828333;1683797031;5;0,46;2,3;5;0,5;2,5
2297;2297,097;38,28495;1683797032;5;0,41;2,05;5;0,4;2
2298;2298,097;38,30161667;1683797033;5;0,46;2,3;5;0,43;2,15
2299;2299,097;38,31828333;1683797034;5;0,41;2,05;5;0,4;2
2300;2300,097;38,33495;1683797035;5;0,44;2,2;5;0,44;2,2
2301;2301,097;38,35161667;1683797036;5;0,41;2,05;5;0,4;2
2302;2302,097;38,36828333;1683797038;5;0,46;2,05;5;0,4;2
2303;2303,362;38,38936667;1683797038;5;0,41;2,05;5;0,4;2
2304;2304,097;38,40161667;1683797039;5;0,46;2,3;5;0,47;2,35
2305;2305,097;38,41828333;1683797040;5;0,41;2,05;5;0,46;2,3
2306;2306,097;38,43495;1683797041;5;0,46;2,3;5;0,47;2,35
2307;2307,097;38,45161667;1683797042;5;0,41;2,05;5;0,46;2,3
2308;2308,097;38,46828333;1683797043;5;0,41;2,05;5;0,46;2,3
2309;2309,097;38,48495;1683797044;5;0,41;2,05;5;0,45;2,25
2310;2310,097;38,50161667;1683797045;5;0,41;2,05;5;0,47;2,35
2311;2311,097;38,51828333;1683797046;5;0,43;2,15;5;0,43;2,15
2312;2312,098;38,53496667;1683797047;5;0,41;2,05;5;0,4;2
2313;2313,098;38,55163333;1683797048;5;0,46;2,3;5;0,44;2,2
2314;2314,097;38,56828333;1683797049;5;0,41;2,05;5;0,4;2
2315;2315,097;38,58495;1683797050;5;0,46;2,3;5;0,43;2,15
2316;2316,097;38,60161667;1683797051;5;0,41;2,05;5;0,4;2
2317;2317,097;38,61828333;1683797052;5;0,42;2,1;5;0,45;2,25
2318;2318,097;38,63495;1683797053;5;0,41;2,05;5;0,4;2
2319;2319,097;38,65161667;1683797054;5;0,46;2,3;5;0,48;2,4
2320;2320,097;38,66828333;1683797055;5;0,41;2,05;5;0,4;2
2321;2321,097;38,68495;1683797056;5;0,46;2,3;5;0,46;2,3
2322;2322,097;38,70161667;1683797057;5;0,41;2,05;5;0,4;2
2323;2323,097;38,71828333;1683797058;5;0,46;2,3;5;0,46;2,3
2324;2324,097;38,73495;1683797059;5;0,45;2,25;5;0,4;2
2325;2325,097;38,75161667;1683797060;5;0,46;2,3;5;0,45;2,25
2326;2326,097;38,76828333;1683797061;5;0,46;2,3;5;0,4;2
2327;2327,097;38,78495;1683797062;5;0,46;2,3;5;0,44;2,2
2328;2328,097;38,80161667;1683797063;5;0,46;2,3;5;0,4;2
2329;2329,097;38,81828333;1683797064;5;0,41;2,05;5;0,43;2,15
2330;2330,097;38,83495;1683797065;5;0,46;2,3;5;0,43;2,15
2331;2331,098;38,85163333;1683797066;5;0,41;2,05;5;0,42;2,1
2332;2332,098;38,8683;1683797067;5;0,41;2,05;5;0,43;2,15
2333;2333,097;38,88495;1683797068;5;0,41;2,05;5;0,4;2
2334;2334,097;38,90161667;1683797069;5;0,46;2,3;5;0,46;2,3
2335;2335,097;38,91828333;1683797070;5;0,41;2,05;5;0,4;2
2336;2336,097;38,93495;1683797071;5;0,46;2,3;5;0,43;2,15
2337;2337,097;38,95161667;1683797072;5;0,41;2,05;5;0,4;2
2338;2338,097;38,96828333;1683797073;5;0,46;2,3;5;0,43;2,15
2339;2339,098;38,98496667;1683797074;5;0,41;2,05;5;0,4;2
2340;2340,097;39,00161667;1683797075;5;0,46;2,3;5;0,43;2,15
2341;2341,098;39,0183;1683797076;5;0,41;2,05;5;0,4;2
2342;2342,097;39,03495;1683797077;5;0,46;2,3;5;0,47;2,35
2343;2343,097;39,05161667;1683797078;5;0,41;2,05;5;0,4;2
2344;2344,097;39,06828333;1683797079;5;0,46;2,3;5;0,47;2,35
2345;2345,097;39,08495;1683797080;5;0,41;2,05;5;0,4;2
2346;2346,097;39,10161667;1683797081;5;0,46;2,3;5;0,46;2,3
2347;2347,1;39,11833333;1683797082;5;0,46;2,3;5;0,4;2
2348;2348,097;39,13495;1683797083;5;0,46;2,3;5;0,4;2
2349;2349,097;39,15161667;1683797084;5;0,45;2,25;5;0,4;2
2350;2350,097;39,16828333;1683797085;5;0,41;2,05;5;0,4;2
