index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
18;18,106;0,301766667;1683794753;5;0,46;2,3;5;0,43;2,15
19;19,097;0,318283333;1683794755;5;0,41;2,05;5;0,4;2
20;20,604;0,3434;1683794755;5;0,41;2,05;5;0,4;2
21;21,097;0,351616667;1683794756;5;0,42;2,1;5;0,45;2,25
22;22,097;0,368283333;1683794757;5;0,41;2,05;5;0,45;2,25
23;23,097;0,38495;1683794758;5;0,44;2,2;5;0,43;2,15
24;24,097;0,401616667;1683794759;5;0,46;2,3;5;0,42;2,1
25;25,097;0,418283333;1683794760;5;0,44;2,2;5;0,4;2
26;26,104;0,435066667;1683794761;5;0,46;2,3;5;0,43;2,15
27;27,097;0,451616667;1683794762;5;0,44;2,2;5;0,45;2,25
28;28,097;0,468283333;1683794763;5;0,46;2,3;5;0,45;2,25
29;29,097;0,48495;1683794764;5;0,41;2,05;5;0,4;2
30;30,097;0,501616667;1683794765;5;0,46;2,3;5;0,48;2,4
31;31,097;0,518283333;1683794766;5;0,41;2,05;5;0,4;2
32;32,096;0,534933333;1683794767;5;0,46;2,3;5;0,46;2,3
33;33,099;0,55165;1683794768;5;0,41;2,05;5;0,4;2
34;34,102;0,568366667;1683794769;5;0,46;2,3;5;0,43;2,15
35;35,098;0,584966667;1683794770;5;0,41;2,05;5;0,4;2
36;36,097;0,601616667;1683794771;5;0,46;2,3;5;0,46;2,3
37;37,101;0,61835;1683794772;5;0,41;2,05;5;0,4;2
38;38,1;0,635;1683794773;5;0,5;2,5;5;0,45;2,25
39;39,104;0,651733333;1683794775;5;0,46;2,3;5;0,46;2,3
40;40,242;0,6707;1683794775;5;0,46;2,3;5;0,46;2,3
41;41,097;0,68495;1683794776;5;0,41;2,05;5;0,41;2,05
42;42,098;0,701633333;1683794777;5;0,47;2,35;5;0,43;2,15
43;43,097;0,718283333;1683794778;5;0,41;2,05;5;0,41;2,05
44;44,097;0,73495;1683794779;5;0,42;2,1;5;0,49;2,45
45;45,097;0,751616667;1683794780;5;0,41;2,05;5;0,42;2,1
46;46,097;0,768283333;1683794781;5;0,41;2,05;5;0,46;2,3
47;47,102;0,785033333;1683794782;5;0,41;2,05;5;0,45;2,25
48;48,097;0,801616667;1683794783;5;0,41;2,05;5;0,47;2,35
49;49,097;0,818283333;1683794784;5;0,46;2,3;5;0,45;2,25
50;50,097;0,83495;1683794785;5;0,41;2,05;5;0,4;2
51;51,097;0,851616667;1683794786;5;0,47;2,35;5;0,45;2,25
52;52,097;0,868283333;1683794787;5;0,41;2,05;5;0,4;2
53;53,097;0,88495;1683794788;5;0,46;2,3;5;0,43;2,15
54;54,101;0,901683333;1683794789;5;0,41;2,05;5;0,4;2
55;55,097;0,918283333;1683794790;5;0,48;2,4;5;0,46;2,3
56;56,098;0,934966667;1683794791;5;0,41;2,05;5;0,4;2
57;57,097;0,951616667;1683794792;5;0,47;2,35;5;0,45;2,25
58;58,098;0,9683;1683794793;5;0,41;2,05;5;0,4;2
59;59,099;0,984983333;1683794794;5;0,46;2,3;5;0,45;2,25
60;60,097;1,001616667;1683794795;5;0,41;2,05;5;0,4;2
61;61,097;1,018283333;1683794796;5;0,46;2,3;5;0,43;2,15
62;62,097;1,03495;1683794797;5;0,41;2,05;5;0,4;2
63;63,097;1,051616667;1683794798;5;0,46;2,3;5;0,42;2,1
64;64,097;1,068283333;1683794799;5;0,41;2,05;5;0,4;2
65;65,097;1,08495;1683794800;5;0,46;2,3;5;0,45;2,25
66;66,097;1,101616667;1683794801;5;0,41;2,05;5;0,45;2,25
67;67,097;1,118283333;1683794802;5;0,43;2,15;5;0,45;2,25
68;68,097;1,13495;1683794803;5;0,46;2,3;5;0,46;2,3
69;69,097;1,151616667;1683794804;5;0,41;2,05;5;0,47;2,35
70;70,108;1,168466667;1683794805;5;0,42;2,1;5;0,4;2
71;71,098;1,184966667;1683794806;5;0,41;2,05;5;0,47;2,35
72;72,097;1,201616667;1683794807;5;0,46;2,3;5;0,46;2,3
73;73,097;1,218283333;1683794808;5;0,41;2,05;5;0,4;2
74;74,098;1,234966667;1683794809;5;0,46;2,3;5;0,47;2,35
75;75,097;1,251616667;1683794810;5;0,41;2,05;5;0,4;2
76;76,097;1,268283333;1683794811;5;0,46;2,3;5;0,43;2,15
77;77,11;1,285166667;1683794812;5;0,41;2,05;5;0,4;2
78;78,097;1,301616667;1683794813;5;0,46;2,3;5;0,41;2,05
79;79,105;1,318416667;1683794814;5;0,41;2,05;5;0,4;2
80;80,104;1,335066667;1683794815;5;0,46;2,3;5;0,43;2,15
81;81,097;1,351616667;1683794816;5;0,41;2,05;5;0,4;2
82;82,104;1,3684;1683794817;5;0,46;2,3;5;0,41;2,05
83;83,097;1,38495;1683794818;5;0,41;2,05;5;0,4;2
84;84,097;1,401616667;1683794819;5;0,41;2,05;5;0,4;2
85;85,097;1,418283333;1683794820;5;0,41;2,05;5;0,4;2
86;86,102;1,435033333;1683794821;5;0,41;2,05;5;0,4;2
87;87,097;1,451616667;1683794822;5;0,41;2,05;5;0,43;2,15
88;88,097;1,468283333;1683794823;5;0,41;2,05;5;0,4;2
89;89,097;1,48495;1683794824;5;0,41;2,05;5;0,4;2
90;90,104;1,501733333;1683794825;5;0,41;2,05;5;0,4;2
91;91,099;1,518316667;1683794826;5;0,41;2,05;5;0,4;2
92;92,098;1,534966667;1683794827;5;0,41;2,05;5;0,4;2
93;93,098;1,551633333;1683794828;5;0,41;2,05;5;0,4;2
94;94,098;1,5683;1683794829;5;0,41;2,05;5;0,4;2
95;95,101;1,585016667;1683794830;5;0,41;2,05;5;0,4;2
96;96,098;1,601633333;1683794831;5;0,41;2,05;5;0,4;2
97;97,101;1,61835;1683794832;5;0,41;2,05;5;0,4;2
98;98,097;1,63495;1683794833;5;0,41;2,05;5;0,4;2
99;99,096;1,6516;1683794834;5;0,41;2,05;5;0,4;2
100;100,097;1,668283333;1683794835;5;0,41;2,05;5;0,4;2
101;101,102;1,685033333;1683794836;5;0,41;2,05;5;0,4;2
102;102,106;1,701766667;1683794837;5;0,41;2,05;5;0,4;2
103;103,102;1,718366667;1683794838;5;0,41;2,05;5;0,4;2
104;104,098;1,734966667;1683794839;5;0,41;2,05;5;0,4;2
105;105,097;1,751616667;1683794840;5;0,41;2,05;5;0,4;2
106;106,11;1,7685;1683794841;5;0,41;2,05;5;0,4;2
107;107,097;1,78495;1683794842;5;0,41;2,05;5;0,4;2
108;108,097;1,801616667;1683794843;5;0,41;2,05;5;0,4;2
109;109,099;1,818316667;1683794844;5;0,41;2,05;5;0,4;2
110;110,097;1,83495;1683794845;5;0,41;2,05;5;0,4;2
111;111,098;1,851633333;1683794846;5;0,41;2,05;5;0,4;2
112;112,097;1,868283333;1683794847;5;0,41;2,05;5;0,4;2
113;113,097;1,88495;1683794848;5;0,45;2,25;5;0,4;2
114;114,096;1,9016;1683794849;5;0,41;2,05;5;0,43;2,15
115;115,1;1,918333333;1683794850;5;0,41;2,05;5;0,4;2
116;116,097;1,93495;1683794851;5;0,41;2,05;5;0,44;2,2
117;117,097;1,951616667;1683794852;5;0,41;2,05;5;0,4;2
118;118,098;1,9683;1683794853;5;0,41;2,05;5;0,4;2
119;119,098;1,984966667;1683794854;5;0,41;2,05;5;0,4;2
120;120,098;2,001633333;1683794855;5;0,41;2,05;5;0,4;2
121;121,097;2,018283333;1683794856;5;0,41;2,05;5;0,4;2
122;122,097;2,03495;1683794857;5;0,41;2,05;5;0,4;2
123;123,097;2,051616667;1683794858;5;0,41;2,05;5;0,4;2
124;124,097;2,068283333;1683794859;5;0,41;2,05;5;0,4;2
125;125,097;2,08495;1683794860;5;0,41;2,05;5;0,4;2
126;126,097;2,101616667;1683794861;5;0,41;2,05;5;0,4;2
127;127,097;2,118283333;1683794862;5;0,41;2,05;5;0,4;2
128;128,104;2,135066667;1683794863;5;0,41;2,05;5;0,4;2
129;129,097;2,151616667;1683794864;5;0,41;2,05;5;0,4;2
130;130,096;2,168266667;1683794865;5;0,41;2,05;5;0,4;2
131;131,097;2,18495;1683794866;5;0,41;2,05;5;0,4;2
132;132,097;2,201616667;1683794867;5;0,41;2,05;5;0,4;2
133;133,097;2,218283333;1683794868;5;0,41;2,05;5;0,4;2
134;134,097;2,23495;1683794869;5;0,41;2,05;5;0,4;2
135;135,098;2,251633333;1683794870;5;0,41;2,05;5;0,4;2
136;136,097;2,268283333;1683794871;5;0,41;2,05;5;0,4;2
137;137,098;2,284966667;1683794872;5;0,41;2,05;5;0,4;2
138;138,097;2,301616667;1683794873;5;0,41;2,05;5;0,4;2
139;139,097;2,318283333;1683794874;5;0,41;2,05;5;0,4;2
140;140,098;2,334966667;1683794875;5;0,41;2,05;5;0,4;2
141;141,102;2,3517;1683794876;5;0,41;2,05;5;0,4;2
142;142,097;2,368283333;1683794877;5;0,41;2,05;5;0,4;2
143;143,097;2,38495;1683794878;5;0,41;2,05;5;0,4;2
144;144,097;2,401616667;1683794879;5;0,46;2,3;5;0,51;2,55
145;145,097;2,418283333;1683794880;5;0,46;2,3;5;0,43;2,15
146;146,099;2,434983333;1683794881;5;0,45;2,25;5;0,44;2,2
147;147,099;2,45165;1683794882;5;0,48;2,4;5;0,4;2
148;148,097;2,468283333;1683794883;5;0,46;2,3;5;0,4;2
149;149,097;2,48495;1683794884;5;0,46;2,3;5;0,4;2
150;150,097;2,501616667;1683794885;5;0,41;2,05;5;0,4;2
151;151,099;2,518316667;1683794886;5;0,46;2,3;5;0,45;2,25
152;152,097;2,53495;1683794887;5;0,41;2,05;5;0,4;2
153;153,097;2,551616667;1683794888;5;0,46;2,3;5;0,45;2,25
154;154,097;2,568283333;1683794889;5;0,41;2,05;5;0,4;2
155;155,1;2,585;1683794890;5;0,46;2,3;5;0,43;2,15
156;156,097;2,601616667;1683794891;5;0,41;2,05;5;0,4;2
157;157,097;2,618283333;1683794892;5;0,49;2,45;5;0,45;2,25
158;158,097;2,63495;1683794893;5;0,41;2,05;5;0,4;2
159;159,097;2,651616667;1683794894;5;0,46;2,3;5;0,45;2,25
160;160,097;2,668283333;1683794895;5;0,41;2,05;5;0,4;2
161;161,097;2,68495;1683794896;5;0,46;2,3;5;0,45;2,25
162;162,097;2,701616667;1683794897;5;0,41;2,05;5;0,4;2
163;163,102;2,718366667;1683794898;5;0,46;2,3;5;0,44;2,2
164;164,097;2,73495;1683794899;5;0,43;2,15;5;0,4;2
165;165,105;2,75175;1683794900;5;0,43;2,15;5;0,45;2,25
166;166,097;2,768283333;1683794901;5;0,41;2,05;5;0,44;2,2
167;167,097;2,78495;1683794902;5;0,45;2,25;5;0,45;2,25
168;168,097;2,801616667;1683794903;5;0,41;2,05;5;0,45;2,25
169;169,097;2,818283333;1683794904;5;0,41;2,05;5;0,47;2,35
170;170,097;2,83495;1683794905;5;0,41;2,05;5;0,45;2,25
171;171,097;2,851616667;1683794906;5;0,41;2,05;5;0,47;2,35
172;172,097;2,868283333;1683794907;5;0,46;2,3;5;0,43;2,15
173;173,097;2,88495;1683794908;5;0,41;2,05;5;0,4;2
174;174,097;2,901616667;1683794909;5;0,46;2,3;5;0,45;2,25
175;175,097;2,918283333;1683794910;5;0,41;2,05;5;0,4;2
176;176,096;2,934933333;1683794911;5;0,46;2,3;5;0,42;2,1
177;177,097;2,951616667;1683794912;5;0,41;2,05;5;0,4;2
178;178,096;2,968266667;1683794913;5;0,46;2,3;5;0,43;2,15
179;179,097;2,98495;1683794914;5;0,41;2,05;5;0,4;2
180;180,097;3,001616667;1683794915;5;0,46;2,3;5;0,43;2,15
181;181,097;3,018283333;1683794916;5;0,41;2,05;5;0,4;2
182;182,097;3,03495;1683794917;5;0,44;2,2;5;0,45;2,25
183;183,097;3,051616667;1683794918;5;0,41;2,05;5;0,41;2,05
184;184,102;3,068366667;1683794919;5;0,42;2,1;5;0,46;2,3
185;185,102;3,085033333;1683794920;5;0,41;2,05;5;0,45;2,25
186;186,097;3,101616667;1683794921;5;0,43;2,15;5;0,47;2,35
187;187,097;3,118283333;1683794922;5;0,41;2,05;5;0,49;2,45
188;188,097;3,13495;1683794923;5;0,41;2,05;5;0,46;2,3
189;189,097;3,151616667;1683794924;5;0,43;2,15;5;0,44;2,2
190;190,104;3,1684;1683794925;5;0,41;2,05;5;0,46;2,3
191;191,097;3,18495;1683794926;5;0,46;2,3;5;0,41;2,05
192;192,097;3,201616667;1683794927;5;0,41;2,05;5;0,44;2,2
193;193,097;3,218283333;1683794928;5;0,45;2,25;5;0,43;2,15
194;194,098;3,234966667;1683794929;5;0,41;2,05;5;0,43;2,15
195;195,099;3,25165;1683794930;5;0,46;2,3;5;0,45;2,25
196;196,097;3,268283333;1683794931;5;0,41;2,05;5;0,44;2,2
197;197,097;3,28495;1683794932;5;0,46;2,3;5;0,45;2,25
198;198,098;3,301633333;1683794933;5;0,41;2,05;5;0,4;2
199;199,097;3,318283333;1683794934;5;0,46;2,3;5;0,46;2,3
200;200,096;3,334933333;1683794935;5;0,41;2,05;5;0,4;2
201;201,097;3,351616667;1683794936;5;0,46;2,3;5;0,47;2,35
202;202,097;3,368283333;1683794937;5;0,41;2,05;5;0,4;2
203;203,097;3,38495;1683794938;5;0,46;2,3;5;0,45;2,25
204;204,098;3,401633333;1683794939;5;0,41;2,05;5;0,4;2
205;205,097;3,418283333;1683794941;5;0,41;2,05;5;0,4;2
206;206,371;3,439516667;1683794941;5;0,41;2,05;5;0,4;2
207;207,098;3,451633333;1683794942;5;0,46;2,3;5;0,44;2,2
208;208,097;3,468283333;1683794943;5;0,41;2,05;5;0,4;2
209;209,097;3,48495;1683794944;5;0,42;2,1;5;0,45;2,25
210;210,097;3,501616667;1683794945;5;0,41;2,05;5;0,4;2
211;211,097;3,518283333;1683794946;5;0,41;2,05;5;0,4;2
212;212,097;3,53495;1683794947;5;0,41;2,05;5;0,4;2
213;213,097;3,551616667;1683794948;5;0,41;2,05;5;0,4;2
214;214,098;3,5683;1683794949;5;0,41;2,05;5;0,4;2
215;215,098;3,584966667;1683794950;5;0,41;2,05;5;0,4;2
