index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
2190;2229,706;37,16176667;1682597164;5;0,41;2,05;5;0,4;2
2191;2230,806;37,1801;1682597165;5;0,41;2,05;5;0,4;2
2192;2231,906;37,19843333;1682597166;5;0,46;2,3;5;0,45;2,25
2193;2233,007;37,21678333;1682597167;5;0,43;2,15;5;0,45;2,25
2194;2234,106;37,2351;1682597168;5;0,46;2,3;5;0,43;2,15
2195;2235,206;37,25343333;1682597169;5;0,45;2,25;5;0,47;2,35
2196;2236,306;37,27176667;1682597170;5;0,46;2,3;5;0,48;2,4
2197;2237,419;37,29031667;1682597171;5;0,45;2,25;5;0,42;2,1
2198;2238,506;37,30843333;1682597173;5;0,42;2,1;5;0,43;2,15
2199;2239,606;37,32676667;1682597174;5;0,46;2,3;5;0,46;2,3
2200;2240,706;37,3451;1682597175;5;0,45;2,25;5;0,47;2,35
2201;2241,807;37,36345;1682597176;5;0,45;2,25;5;0,45;2,25
2202;2242,906;37,38176667;1682597177;5;0,42;2,1;5;0,43;2,15
2203;2244,006;37,4001;1682597178;5;0,45;2,25;5;0,45;2,25
2204;2245,106;37,41843333;1682597179;5;0,46;2,3;5;0,43;2,15
2205;2246,206;37,43676667;1682597180;5;0,46;2,3;5;0,47;2,35
2206;2247,306;37,4551;1682597181;5;0,46;2,3;5;0,45;2,25
2207;2248,406;37,47343333;1682597182;5;0,46;2,3;5;0,47;2,3
2208;2249,506;37,49176667;1682597184;5;0,46;2,3;5;0,46;2,3
2209;2250,606;37,5101;1682597185;5;0,46;2,3;5;0,45;2,25
2210;2251,713;37,52855;1682597186;5;0,45;2,25;5;0,46;2,3
2211;2252,807;37,54678333;1682597187;5;0,45;2,25;5;0,44;2,2
2212;2253,906;37,5651;1682597188;5;0,45;2,25;5;0,46;2,3
2213;2255,006;37,58343333;1682597189;5;0,45;2,25;5;0,5;2,5
2214;2256,106;37,60176667;1682597190;5;0,46;2,3;5;0,43;2,15
2215;2257,206;37,6201;1682597191;5;0,41;2,05;5;0,47;2,35
2216;2258,307;37,63845;1682597192;5;0,46;2,3;5;0,45;2,25
