index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
10;10,089;0,16815;1682594944;5;0,41;2,05;5;0,4;2
11;11,094;0,1849;1682594945;5;0,49;2,45;5;0,48;2,4
12;12,089;0,201483333;1682594946;5;0,46;2,3;5;0,46;2,3
13;13,089;0,21815;1682594947;5;0,46;2,3;5;0,43;2,15
14;14,089;0,234816667;1682594948;5;0,46;2,3;5;0,48;2,4
15;15,089;0,251483333;1682594949;5;0,46;2,3;5;0,47;2,35
16;16,091;0,268183333;1682594950;5;0,46;2,3;5;0,44;2,2
17;17,088;0,2848;1682594951;5;0,46;2,3;5;0,47;2,35
18;18,089;0,301483333;1682594952;5;0,46;2,3;5;0,43;2,15
19;19,092;0,3182;1682594953;5;0,46;2,3;5;0,45;2,25
20;20,089;0,334816667;1682594954;5;0,45;2,25;5;0,48;2,4
21;21,088;0,351466667;1682594955;5;0,46;2,3;5;0,43;2,15
22;22,094;0,368233333;1682594956;5;0,46;2,3;5;0,46;2,3
23;23,089;0,384816667;1682594957;5;0,46;2,3;5;0,43;2,15
24;24,089;0,401483333;1682594958;5;0,46;2,3;5;0,43;2,15
25;25,089;0,41815;1682594959;5;0,46;2,3;5;0,45;2,25
26;26,094;0,4349;1682594960;5;0,46;2,3;5;0,43;2,15
27;27,089;0,451483333;1682594961;5;0,46;2,3;5;0,46;2,3
28;28,089;0,46815;1682594962;5;0,46;2,3;5;0,46;2,3
29;29,089;0,484816667;1682594963;5;0,46;2,3;5;0,45;2,25
30;30,088;0,501466667;1682594964;5;0,47;2,35;5;0,47;2,35
31;31,091;0,518183333;1682594965;5;0,46;2,3;5;0,47;2,35
32;32,089;0,534816667;1682594966;5;0,46;2,3;5;0,46;2,3
33;33,088;0,551466667;1682594967;5;0,48;2,4;5;0,45;2,25
34;34,089;0,56815;1682594968;5;0,46;2,3;5;0,45;2,25
35;35,089;0,584816667;1682594969;5;0,45;2,25;5;0,45;2,25
36;36,089;0,601483333;1682594970;5;0,46;2,3;5;0,45;2,25
37;37,089;0,61815;1682594971;5;0,45;2,25;5;0,47;2,35
38;38,089;0,634816667;1682594972;5;0,45;2,25;5;0,43;2,15
39;39,089;0,651483333;1682594973;5;0,46;2,3;5;0,44;2,2
40;40,092;0,6682;1682594974;5;0,46;2,3;5;0,42;2,1
41;41,089;0,684816667;1682594975;5;0,41;2,05;5;0,4;2
42;42,092;0,701533333;1682594976;5;0,41;2,05;5;0,4;2
43;43,089;0,71815;1682594977;5;0,41;2,05;5;0,4;2
44;44,088;0,7348;1682594978;5;0,41;2,05;5;0,4;2
45;45,089;0,751483333;1682594979;5;0,41;2,05;5;0,4;2
46;46,089;0,76815;1682594980;5;0,41;2,05;5;0,4;2
47;47,092;0,784866667;1682594981;5;0,41;2,05;5;0,4;2
48;48,094;0,801566667;1682594982;5;0,41;2,05;5;0,4;2
49;49,091;0,818183333;1682594983;5;0,41;2,05;5;0,4;2
50;50,089;0,834816667;1682594984;5;0,41;2,05;5;0,4;2
51;51,089;0,851483333;1682594985;5;0,41;2,05;5;0,4;2
52;52,089;0,86815;1682594986;5;0,41;2,05;5;0,4;2
53;53,089;0,884816667;1682594987;5;0,41;2,05;5;0,4;2
54;54,097;0,901616667;1682594988;5;0,41;2,05;5;0,4;2
55;55,102;0,918366667;1682594989;5;0,41;2,05;5;0,4;2
56;56,098;0,934966667;1682594990;5;0,41;2,05;5;0,4;2
57;57,089;0,951483333;1682594991;5;0,41;2,05;5;0,4;2
58;58,088;0,968133333;1682594992;5;0,41;2,05;5;0,4;2
59;59,089;0,984816667;1682594993;5;0,41;2,05;5;0,4;2
60;60,094;1,001566667;1682594994;5;0,41;2,05;5;0,4;2
61;61,089;1,01815;1682594995;5;0,41;2,05;5;0,4;2
62;62,089;1,034816667;1682594996;5;0,41;2,05;5;0,4;2
63;63,09;1,0515;1682594997;5;0,41;2,05;5;0,4;2
64;64,09;1,068166667;1682594998;5;0,41;2,05;5;0,4;2
65;65,089;1,084816667;1682594999;5;0,41;2,05;5;0,4;2
66;66,093;1,10155;1682595000;5;0,41;2,05;5;0,4;2
67;67,09;1,118166667;1682595001;5;0,41;2,05;5;0,4;2
68;68,089;1,134816667;1682595002;5;0,41;2,05;5;0,43;2,15
69;69,089;1,151483333;1682595003;5;0,41;2,05;5;0,4;2
70;70,089;1,16815;1682595004;5;0,41;2,05;5;0,4;2
71;71,089;1,184816667;1682595005;5;0,41;2,05;5;0,4;2
72;72,098;1,201633333;1682595006;5;0,41;2,05;5;0,4;2
73;73,089;1,21815;1682595007;5;0,41;2,05;5;0,4;2
74;74,094;1,2349;1682595008;5;0,41;2,05;5;0,4;2
75;75,09;1,2515;1682595009;5;0,41;2,05;5;0,4;2
76;76,095;1,26825;1682595010;5;0,41;2,05;5;0,4;2
77;77,089;1,284816667;1682595011;5;0,41;2,05;5;0,4;2
78;78,09;1,3015;1682595012;5;0,41;2,05;5;0,4;2
79;79,089;1,31815;1682595013;5;0,41;2,05;5;0,4;2
80;80,089;1,334816667;1682595014;5;0,41;2,05;5;0,4;2
81;81,089;1,351483333;1682595015;5;0,41;2,05;5;0,4;2
82;82,089;1,36815;1682595016;5;0,41;2,05;5;0,4;2
83;83,089;1,384816667;1682595017;5;0,41;2,05;5;0,43;2,15
84;84,089;1,401483333;1682595018;5;0,45;2,25;5;0,4;2
85;85,089;1,41815;1682595019;5;0,41;2,05;5;0,4;2
86;86,088;1,4348;1682595020;5;0,45;2,25;5;0,4;2
87;87,089;1,451483333;1682595021;5;0,41;2,05;5;0,4;2
88;88,089;1,46815;1682595022;5;0,41;2,05;5;0,4;2
89;89,089;1,484816667;1682595023;5;0,41;2,05;5;0,4;2
90;90,088;1,501466667;1682595024;5;0,41;2,05;5;0,4;2
91;91,092;1,5182;1682595025;5;0,41;2,05;5;0,4;2
92;92,096;1,534933333;1682595026;5;0,41;2,05;5;0,4;2
93;93,089;1,551483333;1682595027;5;0,41;2,05;5;0,4;2
94;94,089;1,56815;1682595028;5;0,41;2,05;5;0,4;2
95;95,089;1,584816667;1682595029;5;0,41;2,05;5;0,4;2
96;96,094;1,601566667;1682595030;5;0,41;2,05;5;0,4;2
97;97,09;1,618166667;1682595031;5;0,41;2,05;5;0,4;2
98;98,089;1,634816667;1682595032;5;0,41;2,05;5;0,4;2
99;99,089;1,651483333;1682595033;5;0,41;2,05;5;0,4;2
100;100,088;1,668133333;1682595034;5;0,41;2,05;5;0,41;2,05
101;101,089;1,684816667;1682595035;5;0,5;2,5;5;0,45;2,25
102;102,089;1,701483333;1682595036;5;0,45;2,25;5;0,45;2,25
103;103,089;1,71815;1682595037;5;0,5;2,5;5;0,44;2,2
104;104,091;1,73485;1682595038;5;0,46;2,3;5;0,43;2,15
105;105,089;1,751483333;1682595039;5;0,46;2,3;5;0,45;2,25
106;106,091;1,768183333;1682595040;5;0,46;2,3;5;0,48;2,4
107;107,09;1,784833333;1682595041;5;0,46;2,3;5;0,46;2,3
108;108,094;1,801566667;1682595042;5;0,46;2,3;5;0,46;2,3
109;109,088;1,818133333;1682595043;5;0,46;2,3;5;0,43;2,15
110;110,096;1,834933333;1682595044;5;0,46;2,3;5;0,47;2,35
111;111,088;1,851466667;1682595045;5;0,46;2,3;5;0,46;2,3
112;112,089;1,86815;1682595046;5;0,46;2,3;5;0,44;2,2
113;113,089;1,884816667;1682595047;5;0,46;2,3;5;0,45;2,25
114;114,09;1,9015;1682595048;5;0,45;2,25;5;0,48;2,4
115;115,089;1,91815;1682595049;5;0,46;2,3;5;0,45;2,25
116;116,089;1,934816667;1682595050;5;0,45;2,25;5;0,45;2,25
117;117,097;1,951616667;1682595051;5;0,46;2,3;5;0,47;2,35
118;118,092;1,9682;1682595052;5;0,46;2,3;5;0,43;2,15
119;119,089;1,984816667;1682595053;5;0,45;2,25;5;0,46;2,3
120;120,094;2,001566667;1682595054;5;0,46;2,3;5;0,45;2,25
121;121,09;2,018166667;1682595055;5;0,46;2,3;5;0,46;2,3
122;122,089;2,034816667;1682595056;5;0,46;2,3;5;0,42;2,1
123;123,092;2,051533333;1682595057;5;0,45;2,25;5;0,53;2,65
124;124,088;2,068133333;1682595058;5;0,46;2,3;5;0,48;2,4
125;125,09;2,084833333;1682595059;5;0,46;2,3;5;0,45;2,25
126;126,089;2,101483333;1682595060;5;0,46;2,3;5;0,45;2,25
127;127,089;2,11815;1682595061;5;0,46;2,3;5;0,46;2,3
128;128,088;2,1348;1682595062;5;0,46;2,3;5;0,44;2,2
129;129,089;2,151483333;1682595063;5;0,46;2,3;5;0,45;2,25
130;130,089;2,16815;1682595064;5;0,41;2,05;5;0,4;2
131;131,09;2,184833333;1682595065;5;0,41;2,05;5;0,4;2
132;132,089;2,201483333;1682595066;5;0,41;2,05;5;0,4;2
133;133,089;2,21815;1682595067;5;0,41;2,05;5;0,4;2
134;134,089;2,234816667;1682595068;5;0,41;2,05;5;0,4;2
135;135,089;2,251483333;1682595069;5;0,41;2,05;5;0,4;2
136;136,089;2,26815;1682595070;5;0,41;2,05;5;0,4;2
