index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
1146;1146,073;19,10121667;1683805607;5;0,41;2,05;5;0,4;2
1147;1147,073;19,11788333;1683805608;5;0,46;2,3;5;0,46;2,3
1148;1148,073;19,13455;1683805609;5;0,41;2,05;5;0,43;2,15
1149;1149,073;19,15121667;1683805610;5;0,42;2,1;5;0,44;2,2
1150;1150,073;19,16788333;1683805611;5;0,41;2,05;5;0,4;2
1151;1151,073;19,18455;1683805612;5;0,46;2,3;5;0,44;2,2
1152;1152,076;19,20126667;1683805613;5;0,41;2,05;5;0,4;2
1153;1153,073;19,21788333;1683805614;5;0,42;2,1;5;0,45;2,25
1154;1154,075;19,23458333;1683805615;5;0,41;2,05;5;0,44;2,2
1155;1155,073;19,25121667;1683805616;5;0,41;2,05;5;0,47;2,35
1156;1156,073;19,26788333;1683805617;5;0,46;2,3;5;0,46;2,3
1157;1157,073;19,28455;1683805618;5;0,41;2,05;5;0,4;2
1158;1158,073;19,30121667;1683805619;5;0,47;2,35;5;0,43;2,15
1159;1159,073;19,31788333;1683805620;5;0,41;2,05;5;0,4;2
1160;1160,073;19,33455;1683805621;5;0,46;2,3;5;0,4;2
1161;1161,073;19,35121667;1683805622;5;0,41;2,05;5;0,4;2
1162;1162,073;19,36788333;1683805623;5;0,46;2,3;5;0,43;2,15
1163;1163,073;19,38455;1683805624;5;0,41;2,05;5;0,4;2
1164;1164,073;19,40121667;1683805625;5;0,46;2,3;5;0,45;2,25
1165;1165,073;19,41788333;1683805626;5;0,41;2,05;5;0,4;2
1166;1166,074;19,43456667;1683805627;5;0,46;2,3;5;0,46;2,3
1167;1167,073;19,45121667;1683805628;5;0,41;2,05;5;0,4;2
1168;1168,073;19,46788333;1683805629;5;0,46;2,3;5;0,47;2,35
1169;1169,073;19,48455;1683805630;5;0,41;2,05;5;0,4;2
1170;1170,074;19,50123333;1683805631;5;0,46;2,3;5;0,44;2,2
1171;1171,073;19,51788333;1683805632;5;0,41;2,05;5;0,4;2
1172;1172,073;19,53455;1683805633;5;0,41;2,05;5;0,45;2,25
1173;1173,073;19,55121667;1683805634;5;0,41;2,05;5;0,4;2
1174;1174,073;19,56788333;1683805635;5;0,42;2,1;5;0,43;2,15
1175;1175,073;19,58455;1683805636;5;0,41;2,05;5;0,4;2
1176;1176,073;19,60121667;1683805637;5;0,41;2,05;5;0,48;2,4
1177;1177,073;19,61788333;1683805638;5;0,41;2,05;5;0,45;2,25
1178;1178,074;19,63456667;1683805639;5;0,41;2,05;5;0,43;2,15
1179;1179,073;19,65121667;1683805640;5;0,44;2,2;5;0,45;2,25
1180;1180,073;19,66788333;1683805641;5;0,41;2,05;5;0,47;2,35
1181;1181,073;19,68455;1683805642;5;0,46;2,3;5;0,45;2,25
1182;1182,073;19,70121667;1683805643;5;0,41;2,05;5;0,4;2
1183;1183,073;19,71788333;1683805644;5;0,46;2,3;5;0,43;2,15
1184;1184,073;19,73455;1683805645;5;0,41;2,05;5;0,4;2
1185;1185,073;19,75121667;1683805646;5;0,44;2,2;5;0,43;2,15
1186;1186,075;19,76791667;1683805647;5;0,41;2,05;5;0,4;2
1187;1187,073;19,78455;1683805648;5;0,46;2,3;5;0,45;2,25
1188;1188,073;19,80121667;1683805649;5;0,41;2,05;5;0,4;2
1189;1189,073;19,81788333;1683805650;5;0,44;2,2;5;0,43;2,15
1190;1190,073;19,83455;1683805651;5;0,41;2,05;5;0,4;2
1191;1191,073;19,85121667;1683805652;5;0,46;2,3;5;0,41;2,05
1192;1192,073;19,86788333;1683805653;5;0,41;2,05;5;0,4;2
1193;1193,073;19,88455;1683805654;5;0,41;2,05;5;0,45;2,25
1194;1194,073;19,90121667;1683805655;5;0,41;2,05;5;0,43;2,15
1195;1195,073;19,91788333;1683805656;5;0,42;2,1;5;0,45;2,25
1196;1196,073;19,93455;1683805657;5;0,43;2,15;5;0,4;2
1197;1197,073;19,95121667;1683805658;5;0,41;2,05;5;0,47;2,35
1198;1198,074;19,9679;1683805659;5;0,41;2,05;5;0,45;2,25
1199;1199,073;19,98455;1683805660;5;0,41;2,05;5;0,47;2,35
1200;1200,073;20,00121667;1683805661;5;0,45;2,25;5;0,4;2
1201;1201,073;20,01788333;1683805662;5;0,41;2,05;5;0,42;2,1
1202;1202,073;20,03455;1683805665;5;0,46;2,3;5;0,4;2
1203;1203,422;20,05703333;1683805665;5;0,46;2,3;5;0,4;2
1204;1204,073;20,06788333;1683805665;5;0,46;2,3;5;0,43;2,15
1205;1205,073;20,08455;1683805666;5;0,41;2,05;5;0,4;2
1206;1206,074;20,10123333;1683805667;5;0,43;2,15;5;0,45;2,25
1207;1207,073;20,11788333;1683805668;5;0,41;2,05;5;0,4;2
1208;1208,073;20,13455;1683805669;5;0,41;2,05;5;0,49;2,45
1209;1209,074;20,15123333;1683805670;5;0,41;2,05;5;0,4;2
1210;1210,073;20,16788333;1683805671;5;0,41;2,05;5;0,47;2,35
1211;1211,073;20,18455;1683805672;5;0,41;2,05;5;0,47;2,35
