index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
0;0,072;0,0012;1683804461;5;0,41;2,05;5;0,4;2
1;1,073;0,017883333;1683804462;5;0,41;2,05;5;0,4;2
2;2,073;0,03455;1683804463;5;0,41;2,05;5;0,4;2
3;3,074;0,051233333;1683804464;5;0,41;2,05;5;0,4;2
4;4,073;0,067883333;1683804465;5;0,41;2,05;5;0,4;2
5;5,074;0,084566667;1683804466;5;0,41;2,05;5;0,4;2
6;6,073;0,101216667;1683804467;5;0,41;2,05;5;0,4;2
7;7,073;0,117883333;1683804468;5;0,41;2,05;5;0,4;2
8;8,073;0,13455;1683804469;5;0,41;2,05;5;0,4;2
9;9,077;0,151283333;1683804470;5;0,41;2,05;5;0,4;2
10;10,073;0,167883333;1683804471;5;0,41;2,05;5;0,4;2
11;11,086;0,184766667;1683804472;5;0,41;2,05;5;0,4;2
12;12,073;0,201216667;1683804473;5;0,41;2,05;5;0,4;2
13;13,072;0,217866667;1683804474;5;0,41;2,05;5;0,4;2
14;14,073;0,23455;1683804475;5;0,41;2,05;5;0,4;2
15;15,073;0,251216667;1683804476;5;0,41;2,05;5;0,4;2
16;16,073;0,267883333;1683804477;5;0,46;2,3;5;0,4;2
17;17,074;0,284566667;1683804478;5;0,46;2,3;5;0,43;2,15
18;18,073;0,301216667;1683804479;5;0,47;2,35;5;0,43;2,15
19;19,074;0,3179;1683804480;5;0,47;2,35;5;0,4;2
20;20,073;0,33455;1683804481;5;0,47;2,35;5;0,4;2
21;21,073;0,351216667;1683804482;5;0,46;2,3;5;0,43;2
22;22,073;0,367883333;1683804483;5;0,41;2,05;5;0,41;2,05
23;23,08;0,384666667;1683804484;5;0,47;2,35;5;0,43;2,15
24;24,073;0,401216667;1683804485;5;0,41;2,05;5;0,4;2
25;25,084;0,418066667;1683804486;5;0,46;2,3;5;0,45;2,25
