index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
2792;2792,082;46,5347;1683811825;5;0,41;2,05;5;0,4;2
2793;2793,082;46,55136667;1683811826;5;0,41;2,05;5;0,4;2
2794;2794,081;46,56801667;1683811827;5;0,44;2,2;5;0,46;2,3
2795;2795,081;46,58468333;1683811828;5;0,41;2,05;5;0,4;2
2796;2796,084;46,6014;1683811829;5;0,41;2,05;5;0,4;2
2797;2797,082;46,61803333;1683811830;5;0,41;2,05;5;0,45;2,25
2798;2798,081;46,63468333;1683811831;5;0,41;2,05;5;0,4;2
2799;2799,081;46,65135;1683811832;5;0,42;2,1;5;0,45;2,25
2800;2800,081;46,66801667;1683811833;5;0,41;2,05;5;0,4;2
2801;2801,081;46,68468333;1683811834;5;0,44;2,2;5;0,43;2,15
2802;2802,081;46,70135;1683811835;5;0,41;2,05;5;0,4;2
2803;2803,081;46,71801667;1683811836;5;0,44;2,2;5;0,46;2,3
2804;2804,081;46,73468333;1683811837;5;0,41;2,05;5;0,4;2
2805;2805,081;46,75135;1683811838;5;0,46;2,3;5;0,45;2,25
2806;2806,081;46,76801667;1683811839;5;0,46;2,3;5;0,4;2
2807;2807,081;46,78468333;1683811840;5;0,46;2,3;5;0,41;2,05
2808;2808,084;46,8014;1683811841;5;0,46;2,3;5;0,4;2
2809;2809,081;46,81801667;1683811842;5;0,43;2,15;5;0,4;2
2810;2810,081;46,83468333;1683811843;5;0,44;2,2;5;0,4;2
2811;2811,081;46,85135;1683811844;5;0,42;2,1;5;0,4;2
2812;2812,081;46,86801667;1683811845;5;0,46;2,3;5;0,41;2,05
2813;2813,081;46,88468333;1683811846;5;0,42;2,1;5;0,4;2
2814;2814,081;46,90135;1683811847;5;0,46;2,3;5;0,45;2,25
2815;2815,081;46,91801667;1683811848;5;0,41;2,05;5;0,4;2
2816;2816,082;46,9347;1683811849;5;0,46;2,3;5;0,43;2,15
2817;2817,081;46,95135;1683811850;5;0,41;2,05;5;0,4;2
2818;2818,081;46,96801667;1683811851;5;0,46;2,3;5;0,45;2,25
2819;2819,081;46,98468333;1683811852;5;0,41;2,05;5;0,4;2
2820;2820,084;47,0014;1683811853;5;0,46;2,3;5;0,43;2,15
2821;2821,081;47,01801667;1683811854;5;0,41;2,05;5;0,4;2
2822;2822,081;47,03468333;1683811855;5;0,46;2,3;5;0,46;2,3
2823;2823,082;47,05136667;1683811856;5;0,41;2,05;5;0,4;2
2824;2824,082;47,06803333;1683811857;5;0,46;2,3;5;0,46;2,3
2825;2825,082;47,0847;1683811858;5;0,41;2,05;5;0,4;2
2826;2826,082;47,10136667;1683811859;5;0,46;2,3;5;0,43;2,15
2827;2827,081;47,11801667;1683811860;5;0,41;2,05;5;0,44;2,2
2828;2828,082;47,1347;1683811861;5;0,46;2,3;5;0,42;2,1
2829;2829,081;47,15135;1683811862;5;0,46;2,3;5;0,4;2
2830;2830,081;47,16801667;1683811863;5;0,42;2,1;5;0,4;2
2831;2831,081;47,18468333;1683811864;5;0,46;2,3;5;0,4;2
2832;2832,081;47,20135;1683811865;5;0,41;2,05;5;0,4;2
2833;2833,081;47,21801667;1683811866;5;0,45;2,25;5;0,43;2,15
2834;2834,081;47,23468333;1683811867;5;0,41;2,05;5;0,4;2
2835;2835,081;47,25135;1683811868;5;0,46;2,3;5;0,43;2,15
2836;2836,082;47,26803333;1683811869;5;0,41;2,05;5;0,4;2
2837;2837,082;47,2847;1683811870;5;0,43;2,15;5;0,41;2,05
2838;2838,081;47,30135;1683811871;5;0,41;2,05;5;0,4;2
2839;2839,081;47,31801667;1683811872;5;0,46;2,3;5;0,46;2,3
2840;2840,081;47,33468333;1683811873;5;0,41;2,05;5;0,4;2
2841;2841,081;47,35135;1683811874;5;0,46;2,3;5;0,46;2,3
2842;2842,082;47,36803333;1683811875;5;0,41;2,05;5;0,4;2
2843;2843,082;47,3847;1683811876;5;0,46;2,3;5;0,43;2,15
2844;2844,081;47,40135;1683811877;5;0,41;2,05;5;0,4;2
2845;2845,082;47,41803333;1683811878;5;0,46;2,3;5;0,44;2,2
2846;2846,081;47,43468333;1683811879;5;0,41;2,05;5;0,4;2
2847;2847,086;47,45143333;1683811880;5;0,43;2,15;5;0,45;2,25
2848;2848,081;47,46801667;1683811881;5;0,41;2,05;5;0,45;2,25
2849;2849,081;47,48468333;1683811882;5;0,41;2,05;5;0,46;2,3
2850;2850,081;47,50135;1683811883;5;0,44;2,2;5;0,43;2,15
2851;2851,081;47,51801667;1683811884;5;0,41;2,05;5;0,46;2,3
2852;2852,081;47,53468333;1683811885;5;0,41;2,05;5;0,43;2,15
2853;2853,081;47,55135;1683811886;5;0,41;2,05;5;0,49;2,45
2854;2854,081;47,56801667;1683811887;5;0,41;2,05;5;0,44;2,2
2855;2855,083;47,58471667;1683811888;5;0,41;2,05;5;0,4;2
2856;2856,082;47,60136667;1683811889;5;0,46;2,3;5;0,45;2,25
2857;2857,081;47,61801667;1683811890;5;0,41;2,05;5;0,4;2
2858;2858,081;47,63468333;1683811891;5;0,43;2,15;5;0,47;2,35
