index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
19;19,08;0,318;1683809052;5;0,41;2,05;5;0,4;2
20;20,081;0,334683333;1683809053;5;0,47;2,35;5;0,5;2,5
21;21,084;0,3514;1683809054;5;0,49;2,45;5;0,45;2,25
22;22,081;0,368016667;1683809055;5;0,41;2,05;5;0,4;2
23;23,081;0,384683333;1683809056;5;0,47;2,35;5;0,44;2,2
24;24,08;0,401333333;1683809057;5;0,41;2,05;5;0,4;2
25;25,086;0,4181;1683809058;5;0,47;2,35;5;0,43;2,15
26;26,081;0,434683333;1683809059;5;0,41;2,05;5;0,4;2
27;27,087;0,45145;1683809060;5;0,47;2,35;5;0,43;2,15
28;28,081;0,468016667;1683809061;5;0,41;2,05;5;0,4;2
29;29,086;0,484766667;1683809062;5;0,48;2,4;5;0,42;2,1
30;30,084;0,5014;1683809063;5;0,41;2,05;5;0,4;2
31;31,082;0,518033333;1683809064;5;0,41;2,05;5;0,46;2,3
32;32,082;0,5347;1683809065;5;0,44;2,2;5;0,45;2,25
33;33,081;0,55135;1683809066;5;0,41;2,05;5;0,47;2,35
34;34,081;0,568016667;1683809067;5;0,43;2,15;5;0,43;2,15
35;35,081;0,584683333;1683809068;5;0,41;2,05;5;0,49;2,45
36;36,081;0,60135;1683809069;5;0,44;2,2;5;0,47;2,35
37;37,09;0,618166667;1683809070;5;0,41;2,05;5;0,43;2,15
38;38,081;0,634683333;1683809071;5;0,46;2,3;5;0,43;2,15
39;39,081;0,65135;1683809072;5;0,41;2,05;5;0,4;2
40;40,081;0,668016667;1683809073;5;0,47;2,35;5;0,43;2,15
41;41,088;0,6848;1683809074;5;0,41;2,05;5;0,4;2
42;42,082;0,701366667;1683809075;5;0,46;2,3;5;0,45;2,25
43;43,081;0,718016667;1683809076;5;0,41;2,05;5;0,4;2
44;44,081;0,734683333;1683809077;5;0,47;2,35;5;0,45;2,25
45;45,081;0,75135;1683809078;5;0,41;2,05;5;0,41;2,05
46;46,081;0,768016667;1683809079;5;0,41;2,05;5;0,48;2,4
47;47,081;0,784683333;1683809080;5;0,46;2,3;5;0,44;2,2
48;48,087;0,80145;1683809081;5;0,42;2,1;5;0,48;2,4
49;49,081;0,818016667;1683809082;5;0,42;2,1;5;0,45;2,25
50;50,086;0,834766667;1683809083;5;0,41;2,05;5;0,47;2,35
51;51,081;0,85135;1683809084;5;0,46;2,3;5;0,43;2,15
52;52,08;0,868;1683809085;5;0,41;2,05;5;0,45;2,25
53;53,081;0,884683333;1683809086;5;0,46;2,3;5;0,46;2,3
54;54,081;0,90135;1683809087;5;0,41;2,05;5;0,43;2,15
55;55,081;0,918016667;1683809088;5;0,46;2,3;5;0,46;2,3
56;56,081;0,934683333;1683809089;5;0,41;2,05;5;0,4;2
57;57,081;0,95135;1683809090;5;0,48;2,4;5;0,45;2,25
58;58,081;0,968016667;1683809091;5;0,41;2,05;5;0,4;2
59;59,081;0,984683333;1683809092;5;0,46;2,3;5;0,42;2,1
60;60,088;1,001466667;1683809093;5;0,41;2,05;5;0,4;2
61;61,081;1,018016667;1683809094;5;0,46;2,3;5;0,45;2,25
62;62,081;1,034683333;1683809095;5;0,41;2,05;5;0,4;2
63;63,087;1,05145;1683809096;5;0,46;2,3;5;0,45;2,25
64;64,082;1,068033333;1683809097;5;0,41;2,05;5;0,4;2
65;65,081;1,084683333;1683809098;5;0,47;2,35;5;0,48;2,4
66;66,081;1,10135;1683809099;5;0,43;2,15;5;0,4;2
67;67,081;1,118016667;1683809100;5;0,48;2,4;5;0,45;2,25
68;68,08;1,134666667;1683809101;5;0,46;2,3;5;0,4;2
69;69,087;1,15145;1683809102;5;0,5;2,5;5;0,46;2,3
70;70,081;1,168016667;1683809103;5;0,46;2,3;5;0,45;2,25
71;71,081;1,184683333;1683809104;5;0,41;2,05;5;0,4;2
72;72,081;1,20135;1683809105;5;0,46;2,3;5;0,44;2,2
73;73,08;1,218;1683809106;5;0,41;2,05;5;0,4;2
74;74,081;1,234683333;1683809107;5;0,46;2,3;5;0,43;2,15
75;75,084;1,2514;1683809108;5;0,41;2,05;5;0,4;2
76;76,084;1,268066667;1683809109;5;0,46;2,3;5;0,45;2,25
77;77,083;1,284716667;1683809110;5;0,41;2,05;5;0,4;2
78;78,082;1,301366667;1683809111;5;0,46;2,3;5;0,47;2,35
79;79,081;1,318016667;1683809112;5;0,45;2,25;5;0,4;2
80;80,081;1,334683333;1683809113;5;0,46;2,3;5;0,46;2,3
81;81,083;1,351383333;1683809114;5;0,42;2,1;5;0,4;2
82;82,08;1,368;1683809115;5;0,46;2,3;5;0,46;2,3
83;83,081;1,384683333;1683809116;5;0,43;2,15;5;0,4;2
84;84,084;1,4014;1683809117;5;0,46;2,3;5;0,42;2,1
85;85,081;1,418016667;1683809118;5;0,46;2,3;5;0,4;2
86;86,081;1,434683333;1683809119;5;0,41;2,05;5;0,4;2
87;87,082;1,451366667;1683809120;5;0,41;2,05;5;0,4;2
88;88,082;1,468033333;1683809121;5;0,41;2,05;5;0,4;2
89;89,081;1,484683333;1683809122;5;0,41;2,05;5;0,4;2
90;90,081;1,50135;1683809123;5;0,41;2,05;5;0,4;2
91;91,081;1,518016667;1683809124;5;0,41;2,05;5;0,4;2
92;92,081;1,534683333;1683809125;5;0,41;2,05;5;0,4;2
93;93,081;1,55135;1683809126;5;0,41;2,05;5;0,4;2
94;94,081;1,568016667;1683809127;5;0,41;2,05;5;0,4;2
95;95,082;1,5847;1683809128;5;0,41;2,05;5;0,4;2
96;96,081;1,60135;1683809129;5;0,41;2,05;5;0,4;2
97;97,087;1,618116667;1683809130;5;0,41;2,05;5;0,4;2
98;98,081;1,634683333;1683809131;5;0,41;2,05;5;0,4;2
99;99,081;1,65135;1683809132;5;0,41;2,05;5;0,4;2
100;100,081;1,668016667;1683809133;5;0,41;2,05;5;0,4;2
