index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
2477;2477,065;41,28441667;1683360646;5;0,41;2,05;5;0,4;2
2478;2478,065;41,30108333;1683360647;5;0,41;2,05;5;0,4;2
2479;2479,065;41,31775;1683360648;5;0,43;2,15;5;0,47;2,35
2480;2480,066;41,33443333;1683360649;5;0,44;2,2;5;0,48;2,4
2481;2481,065;41,35108333;1683360650;5;0,46;2,3;5;0,42;2,1
2482;2482,067;41,36778333;1683360651;5;0,46;2,3;5;0,43;2,15
2483;2483,065;41,38441667;1683360652;5;0,44;2,2;5;0,45;2,25
2484;2484,065;41,40108333;1683360653;5;0,46;2,3;5;0,45;2,25
2485;2485,065;41,41775;1683360654;5;0,46;2,3;5;0,43;2,15
2486;2486,066;41,43443333;1683360655;5;0,48;2,4;5;0,44;2,2
2487;2487,065;41,45108333;1683360656;5;0,42;2,1;5;0,43;2,15
2488;2488,065;41,46775;1683360657;5;0,43;2,15;5;0,47;2,35
2489;2489,065;41,48441667;1683360658;5;0,45;2,25;5;0,45;2,25
2490;2490,065;41,50108333;1683360659;5;0,46;2,3;5;0,45;2,25
2491;2491,065;41,51775;1683360660;5;0,45;2,25;5;0,48;2,4
2492;2492,065;41,53441667;1683360661;5;0,45;2,25;5;0,44;2,2
2493;2493,065;41,55108333;1683360662;5;0,41;2,05;5;0,43;2,15
2494;2494,065;41,56775;1683360663;5;0,41;2,05;5;0,41;2,05
2495;2495,065;41,58441667;1683360664;5;0,43;2,15;5;0,42;2,1
2496;2496,065;41,60108333;1683360665;5;0,46;2,3;5;0,43;2,15
2497;2497,065;41,61775;1683360666;5;0,46;2,3;5;0,47;2,35
2498;2498,065;41,63441667;1683360667;5;0,46;2,3;5;0,44;2,2
2499;2499,065;41,65108333;1683360668;5;0,46;2,3;5;0,43;2,15
2500;2500,065;41,66775;1683360669;5;0,41;2,05;5;0,48;2,4
2501;2501,065;41,68441667;1683360670;5;0,45;2,25;5;0,45;2,25
2502;2502,066;41,7011;1683360671;5;0,45;2,25;5;0,4;2
2503;2503,065;41,71775;1683360672;5;0,44;2,2;5;0,48;2,4
2504;2504,065;41,73441667;1683360673;5;0,45;2,25;5;0,46;2,3
2505;2505,065;41,75108333;1683360674;5;0,46;2,3;5;0,45;2,25
