index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
15;15,064;0,251066667;1683358184;5;0,41;2,05;5;0,4;2
16;16,065;0,26775;1683358185;5;0,46;2,3;5;0,4;2
17;17,065;0,284416667;1683358186;5;0,46;2,3;5;0,45;2,25
18;18,065;0,301083333;1683358187;5;0,46;2,3;5;0,47;2,35
19;19,076;0,317933333;1683358188;5;0,46;2,3;5;0,43;2,15
20;20,065;0,334416667;1683358189;5;0,46;2,3;5;0,47;2,35
21;21,065;0,351083333;1683358190;5;0,46;2,3;5;0,45;2,25
22;22,066;0,367766667;1683358191;5;0,46;2,3;5;0,45;2,25
23;23,065;0,384416667;1683358192;5;0,46;2,3;5;0,47;2,35
24;24,064;0,401066667;1683358193;5;0,46;2,3;5;0,44;2,2
25;25,065;0,41775;1683358194;5;0,46;2,3;5;0,48;2,4
26;26,065;0,434416667;1683358195;5;0,46;2,3;5;0,47;2,35
27;27,065;0,451083333;1683358196;5;0,46;2,3;5;0,43;2,15
28;28,065;0,46775;1683358197;5;0,46;2,3;5;0,47;2,35
29;29,065;0,484416667;1683358198;5;0,46;2,3;5;0,45;2,25
30;30,07;0,501166667;1683358199;5;0,47;2,35;5;0,45;2,25
31;31,065;0,51775;1683358200;5;0,49;2,45;5;0,46;2,3
32;32,065;0,534416667;1683358201;5;0,46;2,3;5;0,44;2,2
33;33,065;0,551083333;1683358202;5;0,49;2,45;5;0,47;2,35
34;34,065;0,56775;1683358203;5;0,46;2,3;5;0,49;2,45
35;35,07;0,5845;1683358204;5;0,47;2,35;5;0,45;2,25
36;36,065;0,601083333;1683358205;5;0,46;2,3;5;0,46;2,3
37;37,065;0,61775;1683358206;5;0,46;2,3;5;0,45;2,25
38;38,069;0,634483333;1683358207;5;0,46;2,3;5;0,45;2,25
39;39,065;0,651083333;1683358208;5;0,47;2,35;5;0,45;2,25
40;40,065;0,66775;1683358209;5;0,46;2,3;5;0,45;2,25
41;41,065;0,684416667;1683358210;5;0,46;2,3;5;0,44;2,2
42;42,065;0,701083333;1683358211;5;0,46;2,3;5;0,45;2,25
43;43,07;0,717833333;1683358212;5;0,46;2,3;5;0,45;2,25
44;44,064;0,7344;1683358213;5;0,46;2,3;5;0,46;2,3
45;45,069;0,75115;1683358214;5;0,41;2,05;5;0,4;2
46;46,066;0,767766667;1683358215;5;0,41;2,05;5;0,4;2
47;47,068;0,784466667;1683358216;5;0,41;2,05;5;0,4;2
48;48,074;0,801233333;1683358217;5;0,41;2,05;5;0,4;2
49;49,067;0,817783333;1683358218;5;0,41;2,05;5;0,4;2
50;50,064;0,8344;1683358219;5;0,41;2,05;5;0,4;2
51;51,072;0,8512;1683358220;5;0,41;2,05;5;0,4;2
52;52,065;0,86775;1683358221;5;0,41;2,05;5;0,4;2
53;53,065;0,884416667;1683358222;5;0,41;2,05;5;0,4;2
54;54,065;0,901083333;1683358223;5;0,41;2,05;5;0,4;2
55;55,065;0,91775;1683358224;5;0,41;2,05;5;0,4;2
56;56,065;0,934416667;1683358225;5;0,41;2,05;5;0,4;2
57;57,065;0,951083333;1683358226;5;0,41;2,05;5;0,4;2
58;58,065;0,96775;1683358227;5;0,41;2,05;5;0,4;2
59;59,07;0,9845;1683358228;5;0,41;2,05;5;0,4;2
60;60,065;1,001083333;1683358229;5;0,41;2,05;5;0,4;2
61;61,071;1,01785;1683358230;5;0,41;2,05;5;0,4;2
62;62,065;1,034416667;1683358231;5;0,41;2,05;5;0,4;2
63;63,065;1,051083333;1683358232;5;0,41;2,05;5;0,4;2
64;64,065;1,06775;1683358233;5;0,41;2,05;5;0,4;2
65;65,065;1,084416667;1683358234;5;0,41;2,05;5;0,42;2,1
66;66,065;1,101083333;1683358235;5;0,41;2,05;5;0,4;2
67;67,065;1,11775;1683358236;5;0,41;2,05;5;0,4;2
68;68,07;1,1345;1683358237;5;0,43;2,15;5;0,4;2
69;69,065;1,151083333;1683358238;5;0,41;2,05;5;0,4;2
70;70,066;1,167766667;1683358239;5;0,41;2,05;5;0,4;2
71;71,065;1,184416667;1683358240;5;0,41;2,05;5;0,4;2
72;72,065;1,201083333;1683358241;5;0,41;2,05;5;0,4;2
73;73,065;1,21775;1683358242;5;0,41;2,05;5;0,4;2
74;74,066;1,234433333;1683358243;5;0,41;2,05;5;0,4;2
75;75,065;1,251083333;1683358244;5;0,41;2,05;5;0,4;2
76;76,065;1,26775;1683358245;5;0,41;2,05;5;0,4;2
77;77,065;1,284416667;1683358246;5;0,41;2,05;5;0,4;2
78;78,065;1,301083333;1683358247;5;0,41;2,05;5;0,4;2
