"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,064;0,0010666667;1683358169,091;5;0,41;2,05;5;0,4;2
1;1,066;0,0177666667;1683358170,105;5;0,41;2,05;5;0,4;2
2;2,065;0,0344166667;1683358171,105;5;0,41;2,05;5;0,4;2
3;3,066;0,0511;1683358172,091;5;0,41;2,05;5;0,4;2
4;4,065;0,06775;1683358173,079;5;0,41;2,05;5;0,4;2
5;5,07;0,0845;1683358174,088;5;0,41;2,05;5;0,4;2
6;6,065;0,1010833333;1683358175,081;5;0,41;2,05;5;0,4;2
7;7,064;0,1177333333;1683358176,079;5;0,41;2,05;5;0,4;2
8;8,066;0,1344333333;1683358177,083;5;0,41;2,05;5;0,4;2
9;9,069;0,15115;1683358178,084;5;0,41;2,05;5;0,4;2
10;10,066;0,1677666667;1683358179,084;5;0,41;2,05;5;0,4;2
11;11,065;0,1844166667;1683358180,083;5;0,41;2,05;5;0,4;2
12;12,065;0,2010833333;1683358181,087;5;0,41;2,05;5;0,4;2
13;13,065;0,21775;1683358182,092;5;0,41;2,05;5;0,4;2
14;14,065;0,2344166667;1683358183,081;5;0,41;2,05;5;0,4;2
15;15,064;0,2510666667;1683358184,121;5;0,41;2,05;5;0,4;2
16;16,065;0,26775;1683358185,084;5;0,46;2,3;5;0,4;2
17;17,065;0,2844166667;1683358186,082;5;0,46;2,3;5;0,45;2,25
18;18,065;0,3010833333;1683358187,077;5;0,46;2,3;5;0,47;2,35
19;19,076;0,3179333333;1683358188,091;5;0,46;2,3;5;0,43;2,15
20;20,065;0,3344166667;1683358189,087;5;0,46;2,3;5;0,47;2,35
21;21,065;0,3510833333;1683358190,079;5;0,46;2,3;5;0,45;2,25
22;22,066;0,3677666667;1683358191,084;5;0,46;2,3;5;0,45;2,25
23;23,065;0,3844166667;1683358192,076;5;0,46;2,3;5;0,47;2,35
24;24,064;0,4010666667;1683358193,087;5;0,46;2,3;5;0,44;2,2
25;25,065;0,41775;1683358194,099;5;0,46;2,3;5;0,48;2,4
26;26,065;0,4344166667;1683358195,076;5;0,46;2,3;5;0,47;2,35
27;27,065;0,4510833333;1683358196,08;5;0,46;2,3;5;0,43;2,15
28;28,065;0,46775;1683358197,082;5;0,46;2,3;5;0,47;2,35
29;29,065;0,4844166667;1683358198,079;5;0,46;2,3;5;0,45;2,25
30;30,07;0,5011666667;1683358199,088;5;0,47;2,35;5;0,45;2,25
31;31,065;0,51775;1683358200,076;5;0,49;2,45;5;0,46;2,3
32;32,065;0,5344166667;1683358201,074;5;0,46;2,3;5;0,44;2,2
33;33,065;0,5510833333;1683358202,088;5;0,49;2,45;5;0,47;2,35
34;34,065;0,56775;1683358203,079;5;0,46;2,3;5;0,49;2,45
35;35,07;0,5845;1683358204,096;5;0,47;2,35;5;0,45;2,25
36;36,065;0,6010833333;1683358205,076;5;0,46;2,3;5;0,46;2,3
37;37,065;0,61775;1683358206,086;5;0,46;2,3;5;0,45;2,25
38;38,069;0,6344833333;1683358207,084;5;0,46;2,3;5;0,45;2,25
39;39,065;0,6510833333;1683358208,087;5;0,47;2,35;5;0,45;2,25
40;40,065;0,66775;1683358209,075;5;0,46;2,3;5;0,45;2,25
41;41,065;0,6844166667;1683358210,074;5;0,46;2,3;5;0,44;2,2
42;42,065;0,7010833333;1683358211,079;5;0,46;2,3;5;0,45;2,25
43;43,07;0,7178333333;1683358212,077;5;0,46;2,3;5;0,45;2,25
44;44,064;0,7344;1683358213,078;5;0,46;2,3;5;0,46;2,3
45;45,069;0,75115;1683358214,083;5;0,41;2,05;5;0,4;2
46;46,066;0,7677666667;1683358215,08;5;0,41;2,05;5;0,4;2
47;47,068;0,7844666667;1683358216,082;5;0,41;2,05;5;0,4;2
48;48,074;0,8012333333;1683358217,089;5;0,41;2,05;5;0,4;2
49;49,067;0,8177833333;1683358218,081;5;0,41;2,05;5;0,4;2
50;50,064;0,8344;1683358219,105;5;0,41;2,05;5;0,4;2
51;51,072;0,8512;1683358220,107;5;0,41;2,05;5;0,4;2
52;52,065;0,86775;1683358221,086;5;0,41;2,05;5;0,4;2
53;53,065;0,8844166667;1683358222,075;5;0,41;2,05;5;0,4;2
54;54,065;0,9010833333;1683358223,076;5;0,41;2,05;5;0,4;2
55;55,065;0,91775;1683358224,081;5;0,41;2,05;5;0,4;2
56;56,065;0,9344166667;1683358225,082;5;0,41;2,05;5;0,4;2
57;57,065;0,9510833333;1683358226,078;5;0,41;2,05;5;0,4;2
58;58,065;0,96775;1683358227,079;5;0,41;2,05;5;0,4;2
59;59,07;0,9845;1683358228,084;5;0,41;2,05;5;0,4;2
60;60,065;1,0010833333;1683358229,081;5;0,41;2,05;5;0,4;2
61;61,071;1,01785;1683358230,085;5;0,41;2,05;5;0,4;2
62;62,065;1,0344166667;1683358231,079;5;0,41;2,05;5;0,4;2
63;63,065;1,0510833333;1683358232,081;5;0,41;2,05;5;0,4;2
64;64,065;1,06775;1683358233,08;5;0,41;2,05;5;0,4;2
65;65,065;1,0844166667;1683358234,081;5;0,41;2,05;5;0,42;2,1
66;66,065;1,1010833333;1683358235,083;5;0,41;2,05;5;0,4;2
67;67,065;1,11775;1683358236,079;5;0,41;2,05;5;0,4;2
68;68,07;1,1345;1683358237,084;5;0,43;2,15;5;0,4;2
69;69,065;1,1510833333;1683358238,08;5;0,41;2,05;5;0,4;2
70;70,066;1,1677666667;1683358239,077;5;0,41;2,05;5;0,4;2
71;71,065;1,1844166667;1683358240,077;5;0,41;2,05;5;0,4;2
72;72,065;1,2010833333;1683358241,078;5;0,41;2,05;5;0,4;2
73;73,065;1,21775;1683358242,078;5;0,41;2,05;5;0,4;2
74;74,066;1,2344333333;1683358243,087;5;0,41;2,05;5;0,4;2
75;75,065;1,2510833333;1683358244,1;5;0,41;2,05;5;0,4;2
76;76,065;1,26775;1683358245,077;5;0,41;2,05;5;0,4;2
77;77,065;1,2844166667;1683358246,078;5;0,41;2,05;5;0,4;2
78;78,065;1,3010833333;1683358247,078;5;0,41;2,05;5;0,4;2
79;79,066;1,3177666667;1683358248,08;5;0,41;2,05;5;0,4;2
80;80,066;1,3344333333;1683358249,078;5;0,41;2,05;5;0,4;2
81;81,065;1,3510833333;1683358250,078;5;0,41;2,05;5;0,4;2
82;82,065;1,36775;1683358251,078;5;0,41;2,05;5;0,4;2
83;83,065;1,3844166667;1683358252,08;5;0,41;2,05;5;0,4;2
84;84,065;1,4010833333;1683358253,077;5;0,41;2,05;5;0,4;2
85;85,065;1,41775;1683358254,081;5;0,41;2,05;5;0,4;2
86;86,065;1,4344166667;1683358255,085;5;0,41;2,05;5;0,4;2
87;87,065;1,4510833333;1683358256,08;5;0,41;2,05;5;0,4;2
88;88,065;1,46775;1683358257,078;5;0,41;2,05;5;0,4;2
89;89,065;1,4844166667;1683358258,078;5;0,41;2,05;5;0,4;2
90;90,065;1,5010833333;1683358259,079;5;0,41;2,05;5;0,4;2
91;91,066;1,5177666667;1683358260,078;5;0,41;2,05;5;0,4;2
