index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
2666;2666,034;44,4339;1683801855;5;0,41;2,05;5;0,43;2,15
2667;2667,033;44,45055;1683801856;5;0,46;2,3;5;0,45;2,25
2668;2668,033;44,46721667;1683801857;5;0,45;2,25;5;0,45;2,25
2669;2669,033;44,48388333;1683801858;5;0,44;2,2;5;0,4;2
2670;2670,033;44,50055;1683801859;5;0,46;2,3;5;0,45;2,25
2671;2671,034;44,51723333;1683801860;5;0,44;2,2;5;0,4;2
2672;2672,033;44,53388333;1683801861;5;0,46;2,3;5;0,45;2,25
2673;2673,033;44,55055;1683801862;5;0,43;2,15;5;0,4;2
2674;2674,033;44,56721667;1683801863;5;0,46;2,3;5;0,45;2,25
2675;2675,033;44,58388333;1683801864;5;0,42;2,1;5;0,4;2
2676;2676,033;44,60055;1683801865;5;0,46;2,3;5;0,42;2,1
2677;2677,033;44,61721667;1683801866;5;0,45;2,25;5;0,4;2
2678;2678,033;44,63388333;1683801867;5;0,46;2,3;5;0,47;2,35
2679;2679,034;44,65056667;1683801868;5;0,46;2,3;5;0,4;2
2680;2680,033;44,66721667;1683801869;5;0,46;2,3;5;0,47;2,35
2681;2681,033;44,68388333;1683801870;5;0,46;2,3;5;0,4;2
2682;2682,036;44,7006;1683801871;5;0,46;2,3;5;0,48;2,4
2683;2683,033;44,71721667;1683801872;5;0,47;2,35;5;0,4;2
2684;2684,033;44,73388333;1683801873;5;0,46;2,3;5;0,47;2,35
2685;2685,034;44,75056667;1683801874;5;0,52;2,6;5;0,4;2
2686;2686,033;44,76721667;1683801875;5;0,46;2,3;5;0,41;2,05
2687;2687,034;44,7839;1683801876;5;0,46;2,3;5;0,4;2
2688;2688,033;44,80055;1683801877;5;0,48;2,4;5;0,4;2
2689;2689,033;44,81721667;1683801878;5;0,46;2,3;5;0,45;2,25
2690;2690,036;44,83393333;1683801879;5;0,46;2,3;5;0,4;2
2691;2691,033;44,85055;1683801880;5;0,46;2,3;5;0,45;2,25
2692;2692,033;44,86721667;1683801881;5;0,42;2,1;5;0,4;2
2693;2693,034;44,8839;1683801882;5;0,46;2,3;5;0,47;2,35
2694;2694,033;44,90055;1683801883;5;0,41;2,05;5;0,4;2
2695;2695,034;44,91723333;1683801884;5;0,46;2,3;5;0,44;2,2
2696;2696,034;44,9339;1683801885;5;0,41;2,05;5;0,4;2
2697;2697,035;44,95058333;1683801886;5;0,46;2,3;5;0,44;2,2
2698;2698,033;44,96721667;1683801887;5;0,41;2,05;5;0,4;2
2699;2699,033;44,98388333;1683801888;5;0,46;2,3;5;0,44;2,2
2700;2700,036;45,0006;1683801889;5;0,41;2,05;5;0,4;2
2701;2701,033;45,01721667;1683801890;5;0,46;2,3;5;0,43;2,15
2702;2702,033;45,03388333;1683801891;5;0,46;2,3;5;0,4;2
2703;2703,033;45,05055;1683801892;5;0,46;2,3;5;0,43;2,15
2704;2704,033;45,06721667;1683801893;5;0,46;2,3;5;0,4;2
2705;2705,036;45,08393333;1683801894;5;0,46;2,3;5;0,4;2
2706;2706,036;45,1006;1683801895;5;0,46;2,3;5;0,46;2,3
2707;2707,033;45,11721667;1683801896;5;0,42;2,1;5;0,4;2
2708;2708,033;45,13388333;1683801897;5;0,46;2,3;5;0,45;2,25
2709;2709,033;45,15055;1683801898;5;0,41;2,05;5;0,4;2
2710;2710,034;45,16723333;1683801899;5;0,46;2,3;5;0,46;2,3
2711;2711,033;45,18388333;1683801900;5;0,41;2,05;5;0,4;2
2712;2712,034;45,20056667;1683801901;5;0,46;2,3;5;0,41;2,05
2713;2713,033;45,21721667;1683801902;5;0,41;2,05;5;0,4;2
2714;2714,033;45,23388333;1683801903;5;0,46;2,3;5;0,44;2,2
2715;2715,033;45,25055;1683801904;5;0,41;2,05;5;0,4;2
2716;2716,034;45,26723333;1683801905;5;0,46;2,3;5;0,45;2,25
2717;2717,033;45,28388333;1683801906;5;0,41;2,05;5;0,4;2
2718;2718,033;45,30055;1683801907;5;0,46;2,3;5;0,45;2,25
2719;2719,034;45,31723333;1683801908;5;0,41;2,05;5;0,4;2
2720;2720,033;45,33388333;1683801909;5;0,46;2,3;5;0,49;2,45
2721;2721,033;45,35055;1683801910;5;0,41;2,05;5;0,45;2,25
2722;2722,033;45,36721667;1683801911;5;0,46;2,3;5;0,4;2
2723;2723,034;45,3839;1683801912;5;0,41;2,05;5;0,43;2,15
2724;2724,034;45,40056667;1683801913;5;0,41;2,05;5;0,45;2,25
2725;2725,033;45,41721667;1683801914;5;0,46;2,3;5;0,45;2,25
2726;2726,033;45,43388333;1683801915;5;0,41;2,05;5;0,46;2,3
2727;2727,033;45,45055;1683801916;5;0,46;2,3;5;0,43;2,15
2728;2728,033;45,46721667;1683801917;5;0,41;2,05;5;0,4;2
2729;2729,033;45,48388333;1683801918;5;0,46;2,3;5;0,44;2,2
2730;2730,033;45,50055;1683801919;5;0,41;2,05;5;0,4;2
2731;2731,033;45,51721667;1683801920;5;0,46;2,3;5;0,43;2,15
2732;2732,033;45,53388333;1683801921;5;0,41;2,05;5;0,4;2
