index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
17;17,034;0,2839;1683799206;5;0,41;2,05;5;0,4;2
18;18,033;0,30055;1683799207;5;0,46;2,3;5;0,49;2,45
19;19,033;0,317216667;1683799208;5;0,46;2,3;5;0,45;2,25
20;20,033;0,333883333;1683799209;5;0,41;2,05;5;0,4;2
21;21,033;0,35055;1683799210;5;0,46;2,3;5;0,43;2,15
22;22,034;0,367233333;1683799211;5;0,41;2,05;5;0,4;2
23;23,033;0,383883333;1683799212;5;0,46;2,3;5;0,45;2,25
24;24,033;0,40055;1683799213;5;0,41;2,05;5;0,4;2
25;25,034;0,417233333;1683799214;5;0,47;2,35;5;0,45;2,25
26;26,033;0,433883333;1683799215;5;0,41;2,05;5;0,45;2,25
27;27,033;0,45055;1683799216;5;0,47;2,35;5;0,45;2,25
28;28,033;0,467216667;1683799217;5;0,41;2,05;5;0,4;2
29;29,033;0,483883333;1683799218;5;0,46;2,3;5;0,4;2
30;30,033;0,50055;1683799219;5;0,41;2,05;5;0,45;2,25
31;31,033;0,517216667;1683799220;5;0,46;2,3;5;0,49;2,45
32;32,044;0,534066667;1683799221;5;0,41;2,05;5;0,43;2,15
33;33,033;0,55055;1683799222;5;0,48;2,4;5;0,43;2,15
34;34,033;0,567216667;1683799223;5;0,49;2,45;5;0,45;2,25
35;35,033;0,583883333;1683799224;5;0,42;2,1;5;0,45;2,25
36;36,034;0,600566667;1683799225;5;0,46;2,3;5;0,47;2,35
37;37,034;0,617233333;1683799226;5;0,41;2,05;5;0,4;2
38;38,034;0,6339;1683799227;5;0,55;2,75;5;0,4;2
39;39,033;0,65055;1683799228;5;0,41;2,05;5;0,4;2
40;40,033;0,667216667;1683799229;5;0,46;2,3;5;0,49;2,45
41;41,033;0,683883333;1683799230;5;0,41;2,05;5;0,44;2,2
42;42,035;0,700583333;1683799231;5;0,46;2,3;5;0,46;2,3
43;43,033;0,717216667;1683799232;5;0,41;2,05;5;0,4;2
44;44,033;0,733883333;1683799233;5;0,46;2,3;5;0,42;2,1
45;45,033;0,75055;1683799234;5;0,41;2,05;5;0,4;2
46;46,033;0,767216667;1683799235;5;0,46;2,3;5;0,41;2,05
47;47,033;0,783883333;1683799236;5;0,41;2,05;5;0,49;2,45
48;48,033;0,80055;1683799237;5;0,46;2,3;5;0,4;2
49;49,033;0,817216667;1683799238;5;0,41;2,05;5;0,45;2,25
50;50,033;0,833883333;1683799239;5;0,46;2,3;5;0,4;2
51;51,033;0,85055;1683799240;5;0,41;2,05;5;0,43;2,15
52;52,033;0,867216667;1683799241;5;0,46;2,3;5;0,4;2
53;53,033;0,883883333;1683799242;5;0,41;2,05;5;0,46;2,3
54;54,033;0,90055;1683799243;5;0,46;2,3;5;0,43;2,15
55;55,036;0,917266667;1683799244;5;0,41;2,05;5;0,45;2,25
56;56,033;0,933883333;1683799245;5;0,44;2,2;5;0,45;2,25
57;57,033;0,95055;1683799246;5;0,41;2,05;5;0,46;2,3
58;58,034;0,967233333;1683799247;5;0,46;2,3;5;0,45;2,25
59;59,033;0,983883333;1683799248;5;0,46;2,3;5;0,46;2,3
60;60,033;1,00055;1683799249;5;0,44;2,2;5;0,44;2,2
61;61,034;1,017233333;1683799250;5;0,46;2,3;5;0,45;2,25
62;62,034;1,0339;1683799251;5;0,41;2,05;5;0,4;2
63;63,034;1,050566667;1683799252;5;0,46;2,3;5;0,43;2,15
64;64,034;1,067233333;1683799253;5;0,41;2,05;5;0,4;2
65;65,036;1,083933333;1683799254;5;0,46;2,3;5;0,45;2,25
66;66,033;1,10055;1683799255;5;0,41;2,05;5;0,4;2
67;67,033;1,117216667;1683799256;5;0,46;2,3;5;0,43;2,15
68;68,033;1,133883333;1683799257;5;0,41;2,05;5;0,4;2
69;69,033;1,15055;1683799258;5;0,46;2,3;5;0,4;2
70;70,033;1,167216667;1683799259;5;0,41;2,05;5;0,4;2
71;71,033;1,183883333;1683799260;5;0,46;2,3;5;0,4;2
72;72,033;1,20055;1683799261;5;0,41;2,05;5;0,4;2
73;73,033;1,217216667;1683799262;5;0,44;2,2;5;0,41;2,05
74;74,033;1,233883333;1683799263;5;0,41;2,05;5;0,45;2,25
75;75,033;1,25055;1683799264;5;0,42;2,1;5;0,45;2,25
76;76,033;1,267216667;1683799265;5;0,46;2,3;5;0,43;2,15
77;77,033;1,283883333;1683799266;5;0,42;2,1;5;0,48;2,4
78;78,033;1,30055;1683799267;5;0,46;2,3;5;0,41;2,05
79;79,033;1,317216667;1683799268;5;0,41;2,05;5;0,46;2,3
80;80,033;1,333883333;1683799269;5;0,46;2,3;5;0,43;2,15
81;81,033;1,35055;1683799270;5;0,41;2,05;5;0,45;2,25
82;82,033;1,367216667;1683799271;5;0,46;2,3;5;0,44;2,2
83;83,033;1,383883333;1683799272;5;0,41;2,05;5;0,41;2,05
84;84,033;1,40055;1683799273;5;0,41;2,05;5;0,41;2,05
85;85,033;1,417216667;1683799274;5;0,41;2,05;5;0,4;2
86;86,033;1,433883333;1683799275;5;0,41;2,05;5;0,4;2
87;87,033;1,45055;1683799276;5;0,41;2,05;5;0,4;2
88;88,033;1,467216667;1683799277;5;0,41;2,05;5;0,4;2
89;89,033;1,483883333;1683799278;5;0,41;2,05;5;0,4;2
90;90,033;1,50055;1683799279;5;0,41;2,05;5;0,4;2
91;91,033;1,517216667;1683799280;5;0,41;2,05;5;0,4;2
92;92,033;1,533883333;1683799281;5;0,41;2,05;5;0,4;2
93;93,034;1,550566667;1683799282;5;0,41;2,05;5;0,4;2
94;94,033;1,567216667;1683799283;5;0,41;2,05;5;0,4;2
