index;time;minutes;dateTime;SPD33.CH1_Voltage;SPD33.CH1_Current;SPD33.CH1_Power;SPD33.CH2_Voltage;SPD33.CH2_Current;SPD33.CH2_Power
6404;6404,065;106,7344167;1683234827;5;0,41;2,05;5;0,4;2
6405;6405,065;106,7510833;1683234828;5;0,48;2,4;5;0,43;2,15
6406;6406,065;106,76775;1683234829;5;0,46;2,3;5;0,45;2,25
6407;6407,065;106,7844167;1683234830;5;0,46;2,3;5;0,43;2,15
6408;6408,065;106,8010833;1683234831;5;0,46;2,3;5;0,43;2,15
6409;6409,065;106,81775;1683234832;5;0,46;2,3;5;0,4;2
6410;6410,065;106,8344167;1683234833;5;0,46;2,3;5;0,44;2,2
6411;6411,065;106,8510833;1683234834;5;0,46;2,3;5;0,45;2,25
6412;6412,065;106,86775;1683234835;5;0,46;2,3;5;0,4;2
6413;6413,065;106,8844167;1683234836;5;0,46;2,3;5;0,45;2,25
6414;6414,065;106,9010833;1683234837;5;0,46;2,3;5;0,42;2,1
6415;6415,065;106,91775;1683234838;5;0,46;2,3;5;0,46;2,3
6416;6416,065;106,9344167;1683234839;5;0,46;2,3;5;0,4;2
6417;6417,065;106,9510833;1683234840;5;0,46;2,3;5;0,41;2,05
6418;6418,065;106,96775;1683234841;5;0,47;2,35;5;0,45;2,25
6419;6419,065;106,9844167;1683234842;5;0,46;2,3;5;0,46;2,3
6420;6420,065;107,0010833;1683234843;5;0,46;2,3;5;0,47;2,35
6421;6421,065;107,01775;1683234844;5;0,5;2,5;5;0,45;2,25
6422;6422,065;107,0344167;1683234845;5;0,47;2,35;5;0,46;2,3
6423;6423,065;107,0510833;1683234846;5;0,46;2,3;5;0,43;2,15
6424;6424,065;107,06775;1683234847;5;0,46;2,3;5;0,44;2,2
6425;6425,065;107,0844167;1683234848;5;0,46;2,3;5;0,45;2,25
6426;6426,065;107,1010833;1683234849;5;0,46;2,3;5;0,51;2,55
6427;6427,065;107,11775;1683234850;5;0,46;2,3;5;0,46;2,3
6428;6428,065;107,1344167;1683234851;5;0,46;2,3;5;0,46;2,3
6429;6429,065;107,1510833;1683234852;5;0,5;2,5;5;0,42;2,1
6430;6430,065;107,16775;1683234853;5;0,46;2,3;5;0,46;2,3
6431;6431,065;107,1844167;1683234854;5;0,46;2,3;5;0,43;2,15
6432;6432,065;107,2010833;1683234855;5;0,46;2,3;5;0,51;2,55
6433;6433,065;107,21775;1683234856;5;0,46;2,3;5;0,43;2,15
6434;6434,065;107,2344167;1683234857;5;0,46;2,3;5;0,44;2,2
6435;6435,068;107,2511333;1683234858;5;0,5;2,5;5;0,45;2,25
6436;6436,065;107,26775;1683234859;5;0,46;2,3;5;0,45;2,25
6437;6437,066;107,2844333;1683234860;5;0,46;2,3;5;0,46;2,3
6438;6438,066;107,3011;1683234861;5;0,41;2,05;5;0,43;2,15
6439;6439,065;107,31775;1683234862;5;0,41;2,05;5;0,4;2
6440;6440,065;107,3344167;1683234863;5;0,41;2,05;5;0,4;2
